X [ m ], Y [ m ], Z [ m ], Temperature [ K ], Velocity [ m s^-1 ], Velocity w [ m s^-1 ]
0,0.006526995,0.047993299,298.2971191,0.008309112,-0.005323291
0,0.006543011,0.047993299,298.298584,0.008392621,-0.005329444
0,0.006559026,0.047993299,298.3000794,0.008476571,-0.005335597
0,0.006575042,0.047993299,298.3015442,0.00856095,-0.00534175
0,0.006591058,0.047993299,298.3030396,0.008644679,-0.005347883
0,0.006607074,0.047993299,298.3044739,0.008727271,-0.005353989
0,0.00662309,0.047993299,298.3059082,0.008810231,-0.005360095
0,0.006639106,0.047993299,298.3073731,0.008893548,-0.005366201
0,0.006655122,0.047993299,298.3088074,0.00897598,-0.005370176
0,0.006671138,0.047993299,298.3102112,0.009057577,-0.00537206
0,0.006687154,0.047993299,298.3117065,0.00914352,-0.005372244
0,0.00670317,0.047993299,298.3132629,0.009232252,-0.005371429
0,0.006719186,0.047993299,298.3148193,0.009321437,-0.005370614
0,0.006735202,0.047993299,298.3163757,0.009411062,-0.005369799
0,0.006751218,0.047993299,298.3179321,0.009501115,-0.005368984
0,0.006767234,0.047993299,298.3194885,0.009591581,-0.005368169
0,0.00678325,0.047993299,298.3210449,0.009682545,-0.005367658
0,0.006799266,0.047993299,298.3226013,0.009773996,-0.005367466
0,0.006815282,0.047993299,298.3241882,0.009865818,-0.005367274
0,0.006831298,0.047993299,298.3257752,0.009957749,-0.005367363
0,0.006847314,0.047993299,298.3273926,0.01005066,-0.005366536
0,0.00686333,0.047993299,298.329071,0.010146912,-0.005361038
0,0.006879346,0.047993299,298.3307495,0.010241265,-0.005355531
0,0.006895362,0.047993299,298.3323975,0.010336025,-0.005350024
0,0.006911377,0.047993299,298.3340454,0.010431178,-0.005344518
0,0.006927393,0.047993299,298.3356934,0.010526715,-0.005339011
0,0.006943409,0.047993299,298.3373718,0.010622627,-0.005333504
0,0.006959425,0.047993299,298.3390198,0.010718903,-0.005327997
0,0.006975441,0.047993299,298.3406677,0.010815531,-0.00532249
0,0.006991457,0.047993299,298.3423462,0.010915778,-0.005311667
