 Y [ m ], Velocity [ m s^-1 ], Velocity [ m s^-1 ]
0.01147126,2.505651,2.50465751
0.01147707,2.5047245,2.5037508
0.01148288,2.5037992,2.50284481
0.01148868,2.50292993,2.50198507
0.01149449,2.50217175,2.50121689
0.01150029,2.50141478,2.50044942
0.0115061,2.50065804,2.49968219
0.01151191,2.49990201,2.49891543
0.01151771,2.49914598,2.49814916
0.01152352,2.49839067,2.49738336
0.01152932,2.49763584,2.49661803
0.01153513,2.49688125,2.49585295
0.01154094,2.49612737,2.49508858
0.01154674,2.49537373,2.49432445
0.01155255,2.49462104,2.49356079
0.01155835,2.49381948,2.49275231
0.01156416,2.49299288,2.4919188
0.01156996,2.49216628,2.49108648
0.01157577,2.49134016,2.49025416
0.01158158,2.49064994,2.48954558
0.01158738,2.48996043,2.48883772
0.01159319,2.48927164,2.48813081
0.01159899,2.48860931,2.48744988
0.0116048,2.48796606,2.4867878
0.01161061,2.48732281,2.48612595
0.01161641,2.48668027,2.48546481
0.01162222,2.48603797,2.48480392
0.01162802,2.48539639,2.48414326
0.01163383,2.4847548,2.48348355
0.01163964,2.48411417,2.48282385
0.01164544,2.48347378,2.48216462
0.01165125,2.4828341,2.48150611
0.01165705,2.48219419,2.48084784
0.01166286,2.48161721,2.4802587
0.01166866,2.48105097,2.47968173
0.01167447,2.48048472,2.47910476
0.01168028,2.47991943,2.4785285
0.01168608,2.47935438,2.47795272
0.01169189,2.47878981,2.47737718
0.01169769,2.47822499,2.47680163
0.0117035,2.47766137,2.47622705
0.01170931,2.47709775,2.47565269
0.01171511,2.47653461,2.47507882
0.01172092,2.47597194,2.47450519
0.01172672,2.47540927,2.47393203
0.01173253,2.47482848,2.47334003
0.01173833,2.4742198,2.47271991
0.01174414,2.47361279,2.4721005
0.01174995,2.47307754,2.47156024
0.01175575,2.47254801,2.47102523
0.01176156,2.47204041,2.47051477
0.01176736,2.47153306,2.47000432
0.01177317,2.47102547,2.46949363
0.01177898,2.47051883,2.46898413
0.01178478,2.4700129,2.46847463
0.01179059,2.46950674,2.4679656
0.01179639,2.46900129,2.46745729
0.0118022,2.46849608,2.46694899
0.01180801,2.46799111,2.46644092
0.01181381,2.46748686,2.46593356
0.01181962,2.46698284,2.46542645
0.01182542,2.4664793,2.46491957
0.01183123,2.46601963,2.46445894
0.01183703,2.4655931,2.46403265
0.01184284,2.46516728,2.46360731
0.01184865,2.46474147,2.46318197
0.01185445,2.46431613,2.46275687
0.01186026,2.46389103,2.46233249
0.01186606,2.46346664,2.4619081
0.01187187,2.46304226,2.46148396
0.01187768,2.46261811,2.46106029
0.01188348,2.46219444,2.46063709
0.01188929,2.46177125,2.46021414
0.01189509,2.46134806,2.45979142
0.0119009,2.46092582,2.45936942
0.0119067,2.4605031,2.45894694
0.01191251,2.4600811,2.45852566
0.01191832,2.4596839,2.4581306
0.01192412,2.45931053,2.45776105
0.01192993,2.45893765,2.45739245
0.01193573,2.458565,2.45702386
0.01194154,2.45819306,2.4566555
0.01194735,2.45782089,2.45628738
0.01195315,2.45744944,2.45591974
0.01195896,2.45707822,2.45555282
0.01196476,2.45670748,2.45518613
0.01197057,2.45633721,2.45481944
0.01197638,2.45596671,2.45445323
0.01198218,2.45559692,2.45408702
0.01198799,2.45522738,2.45372152
0.01199379,2.45485806,2.4533565
0.0119996,2.45448947,2.45299125
0.0120054,2.4541204,2.45262647
0.01201121,2.45375276,2.4522624
0.01201702,2.45342708,2.45194221
0.01202282,2.453125,2.45164585
0.01202863,2.45282364,2.4513495
0.01203443,2.45252228,2.4510541
0.01204024,2.45222116,2.4507587
0.01204605,2.45192051,2.45046353
0.01205185,2.45162034,2.45016861
0.01205766,2.45131993,2.44987416
0.01206346,2.45102024,2.44957972
0.01206927,2.45072079,2.44928598
0.01207507,2.45042133,2.44899201
0.01208088,2.45012236,2.44869852
0.01208669,2.44984245,2.44842362
0.01209249,2.44957304,2.44815874
0.0120983,2.4493041,2.44789433
0.0121041,2.44903517,2.44763017
0.01210991,2.44877958,2.4473784
0.01211572,2.44856191,2.44716263
0.01212152,2.44834423,2.44694686
0.01212733,2.44812727,2.44673181
0.01213313,2.44791031,2.44651699
0.01213894,2.44767714,2.4462862
0.01214475,2.4474299,2.44604278
0.01215055,2.44718313,2.44579959
0.01215636,2.44693661,2.44555712
0.01216216,2.44669032,2.44531465
0.01216797,2.44644451,2.44507194
0.01217377,2.4461987,2.44483018
0.01217958,2.44595361,2.44458866
0.01218539,2.44570851,2.44434714
0.01219119,2.4454639,2.4441061
0.012197,2.44527531,2.44391823
0.0122028,2.44509983,2.44374299
0.01220861,2.44492435,2.44356751
0.01221442,2.44474936,2.44339252
0.01222022,2.44457483,2.44321775
0.01222603,2.44440031,2.44304347
0.01223183,2.44422627,2.44286919
0.01223764,2.44405246,2.44269538
0.01224345,2.44387913,2.44252181
0.01224925,2.44370532,2.44234848
0.01225506,2.44353127,2.44217396
0.01226086,2.44333315,2.44197607
0.01226667,2.44317937,2.44181991
0.01227247,2.44304466,2.44168186
0.01227828,2.44290853,2.44154215
0.01228409,2.44276905,2.44139981
0.01228989,2.44262981,2.44125772
0.0122957,2.44249105,2.44111538
0.0123015,2.44235229,2.440974
0.01230731,2.44221377,2.44083238
0.01231312,2.44207597,2.44069123
0.01231892,2.44193792,2.44055033
0.01232473,2.44180059,2.4404099
0.01233053,2.44167852,2.44028497
0.01233634,2.44158936,2.44019413
0.01234214,2.44150043,2.44010353
0.01234795,2.44141197,2.44001317
0.01235376,2.44132376,2.43992329
0.01235956,2.44123554,2.43983316
0.01236537,2.44113374,2.43972874
0.01237117,2.44103241,2.43962407
0.01237698,2.44093108,2.43951988
0.01238279,2.44082999,2.43941593
0.01238859,2.44072938,2.43931222
0.0123944,2.44062829,2.43920827
0.0124002,2.44057465,2.43915343
0.01240601,2.44052053,2.43909884
0.01241182,2.4404664,2.43904376
0.01241762,2.440413,2.43898964
0.01242343,2.44035959,2.43893552
0.01242923,2.44030643,2.43888164
0.01243504,2.44025373,2.43882823
0.01244084,2.44020104,2.43877482
0.01244665,2.44014883,2.43872166
0.01245246,2.44009709,2.4386692
0.01245826,2.44004416,2.43861508
0.01246407,2.4400084,2.43857884
0.01246987,2.4399879,2.43856025
0.01247568,2.4399662,2.43853998
