 Y [ m ],Tol_4_Velocity [ m s^-1 ], Tol_6_Velocity [ m s^-1 ]
0.01198799,1.88131595,1.88126946
0.01199379,1.88127768,1.88123381
0.0119996,1.88124192,1.88120019
0.0120054,1.88122201,1.88117933
0.01201121,1.88120246,1.88115859
0.01201702,1.88118279,1.88113785
0.01202282,1.88116312,1.88111722
0.01202863,1.88114333,1.88109636
0.01203443,1.88112342,1.88107407
0.01204024,1.88110256,1.88104832
0.01204605,1.88108182,1.88102269
0.01205185,1.88106096,1.88099694
0.01205766,1.88104022,1.88097119
0.01206346,1.88101959,1.88094556
0.01206927,1.88099897,1.88092005
0.01207507,1.88097823,1.8808943
0.01208088,1.8809576,1.88086855
0.01208669,1.88093698,1.88084304
0.01209249,1.88091624,1.88081753
0.0120983,1.88089573,1.8807919
0.0121041,1.88088334,1.88077354
0.01210991,1.88087416,1.88075769
0.01211572,1.88086522,1.88074207
0.01212152,1.88085616,1.88072634
0.01212733,1.88084733,1.88071084
0.01213313,1.88083816,1.88069534
0.01213894,1.88082469,1.88067579
0.01214475,1.88080752,1.88065314
0.01215055,1.88079023,1.88063073
0.01215636,1.88077307,1.88060808
0.01216216,1.88075578,1.88058555
0.01216797,1.88073885,1.88056314
0.01217377,1.88072157,1.88054085
0.01217958,1.88070464,1.8805182
0.01218539,1.88068759,1.88049591
0.01219119,1.88067055,1.88047349
0.012197,1.88065326,1.88045108
0.0122028,1.88063633,1.88042867
0.01220861,1.88062036,1.88040829
0.01221442,1.88061059,1.88039935
0.01222022,1.88060093,1.88039041
0.01222603,1.88059115,1.88038135
0.01223183,1.88058126,1.88037252
0.01223764,1.8805716,1.8803637
0.01224345,1.88055527,1.88035011
0.01224925,1.88053417,1.88033307
0.01225506,1.88051295,1.88031614
0.01226086,1.88049197,1.88029921
0.01226667,1.88047099,1.8802824
0.01227247,1.88044965,1.88026536
0.01227828,1.88042843,1.88024867
0.01228409,1.88040757,1.88023162
0.01228989,1.88038635,1.88021481
0.0122957,1.88036537,1.880198
0.0123015,1.88034439,1.88018131
0.01230731,1.88032341,1.8801645
0.01231312,1.88030243,1.8801477
0.01231892,1.88028169,1.88013279
0.01232473,1.8802613,1.88011897
0.01233053,1.8802408,1.88010502
0.01233634,1.88022053,1.88009155
0.01234214,1.88020492,1.88008261
0.01234795,1.8801893,1.88007343
0.01235376,1.8801738,1.88006461
0.01235956,1.88015819,1.88005543
0.01236537,1.88014245,1.88004661
0.01237117,1.88012683,1.88003778
0.01237698,1.88011134,1.88002896
0.01238279,1.88009596,1.88002014
0.01238859,1.88008046,1.8800112
0.0123944,1.88006473,1.88000226
0.0124002,1.88004935,1.87999344
0.01240601,1.88003397,1.87998474
0.01241182,1.88001847,1.87997592
0.01241762,1.8800199,1.87998021
0.01242343,1.88002253,1.87998545
0.01242923,1.88002527,1.87999082
0.01243504,1.880018,1.87998343
0.01244084,1.88001013,1.8799752
0.01244665,1.88000238,1.87996697
0.01245246,1.87999451,1.87995875
0.01245826,1.87998676,1.87995052
0.01246407,1.8799789,1.87994242
0.01246987,1.87997103,1.87993407
0.01247568,1.8799634,1.87992597
0.01248149,1.87995553,1.87991786
0.01248729,1.87994778,1.87990963
0.0124931,1.87995195,1.87991405
0.0124989,1.87995815,1.87992084
0.01250471,1.87996447,1.87992752
0.01251051,1.87997079,1.87993407
0.01251632,1.87997699,1.87994087
0.01252213,1.87998104,1.87994444
0.01252793,1.87997901,1.87994051
0.01253374,1.87997723,1.87993634
0.01253954,1.87997532,1.87993228
0.01254535,1.87997353,1.87992835
0.01255116,1.87997174,1.8799243
0.01255696,1.87996995,1.87992048
0.01256277,1.87996793,1.87991631
0.01256857,1.87996614,1.8799125
0.01257438,1.87997127,1.87991524
0.01258019,1.8799789,1.87992144
0.01258599,1.87998652,1.87992728
0.0125918,1.87999451,1.87993371
0.0125976,1.88000226,1.87993956
0.01260341,1.88001025,1.87994576
0.01260921,1.88001823,1.87995183
0.01261502,1.88002229,1.87995565
0.01262083,1.88002813,1.87996078
0.01262663,1.88003886,1.87996936
0.01263244,1.88004935,1.87997842
0.01263824,1.88006032,1.87998748
0.01264405,1.88007104,1.87999642
0.01264986,1.88008177,1.88000536
0.01265566,1.88009262,1.88001442
0.01266147,1.88010323,1.88002336
0.01266727,1.88011408,1.88003242
0.01267308,1.88012493,1.88004148
0.01267888,1.88013566,1.88005054
0.01268469,1.88014662,1.88005972
0.0126905,1.88015747,1.8800689
0.0126963,1.88016844,1.88007796
0.01270211,1.88017941,1.88008726
0.01270791,1.88019025,1.8800962
0.01271372,1.88019848,1.88010287
0.01271953,1.88019407,1.88009679
0.01272533,1.88018978,1.88009107
0.01273114,1.88018739,1.88008654
0.01273694,1.88018918,1.88008535
0.01274275,1.88019085,1.88008392
0.01274856,1.88019252,1.88008285
0.01275436,1.88019419,1.88008165
0.01276017,1.88019586,1.88008022
0.01276597,1.88019776,1.88007927
0.01277178,1.88019955,1.8800782
0.01277758,1.880211,1.88008726
0.01278339,1.88023317,1.88010776
0.0127892,1.8802557,1.88012862
0.012795,1.88027453,1.8801465
0.01280081,1.88028562,1.88015807
0.01280661,1.88029683,1.88016963
0.01281242,1.88030803,1.88018131
0.01281823,1.88032734,1.88020122
0.01282403,1.88035679,1.88023174
0.01282984,1.88038659,1.88026237
0.01283564,1.88041615,1.88029301
0.01284145,1.88044584,1.88032365
0.01284725,1.88047552,1.8803544
0.01285306,1.8805052,1.88038504
0.01285887,1.88053489,1.88041568
0.01286467,1.88056445,1.88044655
0.01287048,1.88058484,1.88046849
0.01287628,1.88060331,1.8804884
0.01288209,1.88062179,1.88050866
0.0128879,1.88063502,1.88052487
0.0128937,1.88064826,1.88054085
0.01289951,1.88066161,1.88055706
0.01290531,1.88067484,1.88057303
0.01291112,1.88068807,1.88058937
0.01291693,1.8807013,1.88060534
0.01292273,1.88071465,1.88062167
0.01292854,1.88072801,1.88063788
0.01293434,1.88074136,1.88065422
0.01294015,1.88075483,1.88067055
0.01294595,1.88076818,1.88068676
0.01295176,1.88078177,1.88070297
0.01295757,1.88080144,1.88072574
0.01296337,1.88082993,1.88075745
0.01296918,1.8808583,1.8807894
0.01297498,1.88088691,1.88082099
0.01298079,1.88091326,1.88084984
0.0129866,1.8809377,1.88087511
0.0129924,1.88096929,1.88090718
0.01299821,1.881001,1.88093925
0.01300401,1.88103247,1.88097119
0.01300982,1.88106406,1.88100302
0.01301563,1.88109577,1.88103509
0.01302143,1.88112748,1.88106704
0.01302724,1.88115907,1.8810991
0.01303304,1.88119078,1.88113129
0.01303885,1.88122237,1.88116312
0.01304465,1.8812542,1.88119531
0.01305046,1.88128579,1.88122737
0.01305627,1.88131773,1.88125968
0.01306207,1.88134956,1.88129163
0.01306788,1.88138139,1.88132393
0.01307368,1.88141334,1.881356
0.01307949,1.88144505,1.88138819
0.0130853,1.88147879,1.88142025
0.0130911,1.881513,1.88145256
0.01309691,1.88154733,1.88148463
0.01310271,1.88158083,1.8815167
0.01310852,1.88161421,1.88154852
0.01311432,1.88164759,1.88158059
0.01312013,1.88168085,1.88161242
0.01312594,1.88171434,1.88164449
0.01313174,1.8817476,1.88167644
0.01313755,1.88178122,1.88170862
0.01314335,1.88181436,1.88174057
0.01314916,1.88184798,1.88177264
0.01315497,1.88188148,1.8818047
0.01316077,1.88191485,1.88183677
0.01316658,1.88194859,1.88186896
0.01317238,1.88198209,1.88190115
0.01317819,1.88201559,1.88193345
0.013184,1.88204896,1.88196552
0.0131898,1.88209903,1.88201451
0.01319561,1.88215983,1.88207555
0.01320141,1.88220418,1.88212013
0.01320722,1.88224876,1.88216484
0.01321302,1.88229322,1.8822093
0.01321883,1.88234913,1.88226593
0.01322464,1.88240886,1.88232648
0.01323044,1.88246846,1.88238728
0.01323625,1.88252842,1.88244796
0.01324205,1.88258803,1.88250852
0.01324786,1.88264787,1.88256931
0.01325367,1.88270783,1.88263011
0.01325947,1.88276756,1.88269091
0.01326528,1.88282752,1.8827517
0.01327108,1.88288736,1.88281262
0.01327689,1.88294744,1.88287342
0.01328269,1.88300729,1.88293421
0.0132885,1.88306224,1.88298941
0.01329431,1.88310003,1.88302481
0.01330011,1.88313782,1.8830601
0.01330592,1.88317573,1.88309574
0.01331172,1.8832134,1.88313091
0.01331753,1.88325131,1.88316631
0.01332334,1.8832891,1.88320184
0.01332914,1.88332701,1.88323736
0.01333495,1.88337195,1.88328028
0.01334075,1.88344395,1.88335133
0.01334656,1.88351583,1.88342237
0.01335237,1.88358796,1.88349342
0.01335817,1.88365996,1.88356459
0.01336398,1.88373196,1.88363564
0.01336978,1.88380408,1.88370669
0.01337559,1.88387609,1.8837781
0.01338139,1.88394845,1.88384926
0.0133872,1.88402057,1.88392043
0.01339301,1.88409781,1.88399625
0.01339881,1.88418043,1.88407731
0.01340462,1.88426328,1.88415837
0.01341042,1.88434577,1.88423944
0.01341623,1.8844285,1.8843205
0.01342204,1.88451135,1.88440168
0.01342784,1.88459432,1.88448286
0.01343365,1.88466156,1.88454998
0.01343945,1.8847214,1.88461006
0.01344526,1.884781,1.88467026
0.01345106,1.88484085,1.88473058
0.01345687,1.88490069,1.88479066
0.01346268,1.88496065,1.88485098
0.01346848,1.88502049,1.8849113
0.01347429,1.88508034,1.88497174
0.01348009,1.88514042,1.88503206
0.0134859,1.88520038,1.88509262
0.01349171,1.88526034,1.88515306
0.01349751,1.88532031,1.88521349
0.01350332,1.88538313,1.88527668
0.01350912,1.88548958,1.88538718
0.01351493,1.88559604,1.88549769
0.01352074,1.88570273,1.88560832
0.01352654,1.88580942,1.88571894
0.01353235,1.88591003,1.88582385
0.01353815,1.88599551,1.88591409
0.01354396,1.88608086,1.88600433
0.01354976,1.88616621,1.88609469
0.01355557,1.88625169,1.88618517
0.01356138,1.88633716,1.88627541
0.01356718,1.88642263,1.88636589
0.01357299,1.88650846,1.88645661
0.01357879,1.88659406,1.88654721
0.0135846,1.88667953,1.88663745
0.01359041,1.88676524,1.88672829
0.01359621,1.88685095,1.88681877
0.01360202,1.8869369,1.88690972
0.01360782,1.88703763,1.88701475
0.01361363,1.88716853,1.88714874
0.01361944,1.88729966,1.88728261
0.01362524,1.88743079,1.8874166
0.01363105,1.88755548,1.88754237
0.01363685,1.88767397,1.88766038
0.01364266,1.88779283,1.88777816
0.01364846,1.88791168,1.88789642
0.01365427,1.88803041,1.88801456
0.01366008,1.88814926,1.88813281
0.01366588,1.88826835,1.88825107
0.01367169,1.88838732,1.88836944
0.01367749,1.88850641,1.8884877
0.0136833,1.8886255,1.88860607
0.01368911,1.88874459,1.88872457
0.01369491,1.88889062,1.88886952
0.01370072,1.88905048,1.88902795
0.01370652,1.88921058,1.88918662
0.01371233,1.88937092,1.88934541
0.01371813,1.88952994,1.88950384
0.01372394,1.88968897,1.88966227
0.01372975,1.88984811,1.88982069
0.01373555,1.89000714,1.88997936
0.01374136,1.8901664,1.89013779
0.01374716,1.89032555,1.89029646
0.01375297,1.89048505,1.89045525
0.01375878,1.89064419,1.89061391
0.01376458,1.89079225,1.8907609
0.01377039,1.89093506,1.89090204
0.01377619,1.89107811,1.89104354
0.013782,1.89122105,1.89118493
0.01378781,1.89136863,1.89133155
0.01379361,1.89156652,1.89153194
0.01379942,1.89176393,1.89173281
0.01380522,1.89196193,1.89193368
0.01381103,1.89215994,1.89213443
0.01381683,1.89235783,1.89233553
0.01382264,1.89255583,1.8925364
0.01382845,1.89275396,1.89273763
0.01383425,1.89295232,1.89293885
0.01384006,1.89315045,1.89314008
0.01384586,1.89334905,1.89334154
0.01385167,1.8935473,1.89354301
0.01385748,1.89374602,1.89374447
0.01386328,1.89394462,1.89394629
0.01386909,1.89414322,1.89414799
0.01387489,1.89434195,1.89434969
0.0138807,1.89453673,1.89454746
0.0138865,1.8947084,1.89472342
0.01389231,1.89490581,1.89492536
0.01389812,1.89511871,1.89514327
0.01390392,1.89535975,1.89538968
0.01390973,1.89562619,1.89566183
0.01391553,1.8958925,1.8959341
0.01392134,1.89615905,1.89620662
0.01392715,1.89642537,1.89647901
0.01393295,1.89669216,1.89675152
0.01393876,1.89695859,1.89702392
0.01394456,1.89722562,1.89729655
0.01395037,1.89749229,1.89756942
0.01395618,1.89775944,1.89784241
0.01396198,1.89802659,1.8981154
0.01396779,1.89832735,1.89842117
0.01397359,1.89864159,1.8987397
0.0139794,1.89895594,1.89905846
0.0139852,1.89927042,1.89937758
0.01399101,1.89958513,1.89969659
0.01399682,1.89989972,1.90001583
0.01400262,1.90021479,1.90033519
0.01400843,1.90052998,1.90065467
0.01401423,1.90084505,1.90097427
0.01402004,1.90116048,1.90129411
0.01402585,1.90147614,1.90161395
0.01403165,1.90179157,1.90193391
0.01403746,1.90210748,1.90225422
0.01404326,1.90242326,1.90257454
0.01404907,1.90272927,1.90288448
0.01405487,1.90304732,1.90320539
0.01406068,1.90341377,1.90357244
0.01406649,1.90379334,1.90395296
0.01407229,1.90423036,1.90439284
0.0140781,1.90466785,1.90483284
0.0140839,1.90510511,1.90527296
0.01408971,1.90554261,1.90571308
0.01409552,1.90598059,1.90615344
0.01410132,1.90641844,1.90659392
0.01410713,1.90685666,1.90703487
0.01411293,1.90729487,1.90747571
0.01411874,1.90773308,1.90791678
0.01412455,1.90817153,1.90835786
0.01413035,1.90861034,1.90879929
0.01413616,1.90904915,1.90924072
0.01414196,1.90948808,1.90968239
0.01414777,1.9099859,1.91018569
0.01415357,1.91061246,1.91082513
0.01415938,1.9112395,1.91146457
0.01416519,1.91186714,1.91210485
0.01417099,1.91249454,1.91274488
0.0141768,1.91312253,1.91338527
0.0141826,1.91375065,1.91402614
0.01418841,1.91432679,1.9146142
0.01419422,1.91483223,1.91513109
0.01420002,1.91533768,1.91564834
