Time [s],Monitor Point: Coil1 X0 Z0024 (Temperature) [K],Monitor Point: Coil12 X0 Z0089 (Temperature) [K],Monitor Point: Coil12 X00109 Z00864 (Temperature) [K],Monitor Point: Coil12 X0021 Z00893 (Temperature) [K],Monitor Point: Coil6 X0021 Z00533 (Temperature) [K],Monitor Point: CoilsMiddleCenter (Temperature) [K],Monitor Point: Inlet (Temperature) [K],Monitor Point: Inlet (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm0mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm1mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm1mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm2mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm2mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm3mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm3mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm4mm (Velocity) [m s^-1],Monitor Point: MouthpieceAbove1mm4mmTemp (Temperature) [K],Monitor Point: Mp0 (Temperature) [K],Monitor Point: Mp1 (Temperature) [K],Monitor Point: Mp2 (Temperature) [K],Monitor Point: Mp3 (Temperature) [K],Monitor Point: OA1 (Temperature) [K],Monitor Point: OA2 (Temperature) [K],Monitor Point: OutletAVG [K],Monitor Point: OutletTemp (Temperature) [K],Monitor Point: OutletVel (Velocity) [m s^-1],Monitor Point: Pipe0 (Temperature) [K],Monitor Point: Pipe1 (Temperature) [K],Monitor Point: Pipe2 (Temperature) [K],Monitor Point: Thermocouple (Temperature) [K]
7.4099998500,293.2296450000,305.4898990000,315.8271480000,333.0493470000,332.6997680000,297.2671810000,293.1510620000,0.5181863310,0.2645142380,295.8826900000,0.2112686780,295.1949770000,0.2112686780,295.1949770000,0.1242789700,294.2843630000,0.0354232974,293.5021970000,298.5046390000,296.7988890000,296.1892700000,295.8826900000,295.2063900000,294.8014530000,293.2014160000,294.7666020000,0.1696042870,310.2344360000,303.2679140000,298.5046390000,326.6549380000
7.4200000800,293.2297060000,305.5005800000,315.8472600000,333.0865480000,332.7343750000,297.2705990000,293.1510620000,0.5181863310,0.2645142380,295.8851930000,0.2112686780,295.1968690000,0.2112686780,295.1968690000,0.1242789700,294.2854000000,0.0354232974,293.5025330000,298.5094910000,296.8021850000,296.1920170000,295.8851930000,295.2082820000,294.8029790000,293.2014770000,294.7680970000,0.1696042870,310.2496950000,303.2769780000,298.5094910000,326.6865540000
7.4299998300,293.2297670000,305.5112610000,315.8673100000,333.1236880000,332.7689820000,297.2740170000,293.1510620000,0.5181863310,0.2645142380,295.8876650000,0.2112686780,295.1987300000,0.2112686780,295.1987300000,0.1242789700,294.2864380000,0.0354232937,293.5028690000,298.5143130000,296.8054810000,296.1947940000,295.8876650000,295.2101750000,294.8045040000,293.2015380000,294.7696230000,0.1696042870,310.2648930000,303.2860720000,298.5143130000,326.7181090000
7.4400000600,293.2298280000,305.5219120000,315.8873290000,333.1607970000,332.8034970000,297.2774350000,293.1510620000,0.5181863310,0.2645142380,295.8901670000,0.2112686780,295.2005920000,0.2112686780,295.2005920000,0.1242789700,294.2874760000,0.0354232937,293.5032040000,298.5191350000,296.8087770000,296.1975400000,295.8901670000,295.2120670000,294.8060300000,293.2015990000,294.7711180000,0.1696042870,310.2800600000,303.2951050000,298.5191350000,326.7496340000
7.4499998100,293.2298890000,305.5325320000,315.9073490000,333.1978450000,332.8379820000,297.2808530000,293.1510620000,0.5181863310,0.2645142380,295.8926390000,0.2112686780,295.2024540000,0.2112686780,295.2024540000,0.1242789700,294.2885130000,0.0354232900,293.5035100000,298.5239260000,296.8120730000,296.2002870000,295.8926390000,295.2139280000,294.8075560000,293.2016300000,294.7726140000,0.1696042870,310.2952270000,303.3041690000,298.5239260000,326.7811280000
7.4600000400,293.2299500000,305.5431520000,315.9273070000,333.2348330000,332.8723750000,297.2842710000,293.1510620000,0.5181863310,0.2645142380,295.8951110000,0.2112686780,295.2043150000,0.2112686780,295.2043150000,0.1242789700,294.2895510000,0.0354232900,293.5038450000,298.5287170000,296.8153690000,296.2030330000,295.8951110000,295.2158200000,294.8090820000,293.2016910000,294.7741090000,0.1696042870,310.3103640000,303.3132020000,298.5287170000,326.8125610000
7.4699997900,293.2300110000,305.5537410000,315.9472660000,333.2717900000,332.9067690000,297.2876590000,293.1510620000,0.5181863310,0.2645142380,295.8975830000,0.2112686780,295.2061770000,0.2112686780,295.2061770000,0.1242789700,294.2905580000,0.0354232863,293.5041810000,298.5335390000,296.8186340000,296.2057800000,295.8975830000,295.2176820000,294.8106080000,293.2017520000,294.7756040000,0.1696042870,310.3255000000,303.3222050000,298.5335390000,326.8439640000
7.4800000200,293.2301030000,305.5643310000,315.9671630000,333.3086850000,332.9410710000,297.2910460000,293.1510930000,0.5181863310,0.2645142380,295.9000550000,0.2112686780,295.2080080000,0.2112686780,295.2080080000,0.1242789700,294.2915950000,0.0354232863,293.5044860000,298.5383300000,296.8218990000,296.2085270000,295.9000550000,295.2195740000,294.8121340000,293.2018130000,294.7770690000,0.1696042870,310.3405760000,303.3312070000,298.5383300000,326.8753050000
7.4899997700,293.2301640000,305.5749210000,315.9870610000,333.3455510000,332.9753420000,297.2944340000,293.1510930000,0.5181863310,0.2645142380,295.9025270000,0.2112686780,295.2098690000,0.2112686780,295.2098690000,0.1242789700,294.2926330000,0.0354232825,293.5048220000,298.5430910000,296.8251650000,296.2112730000,295.9025270000,295.2214360000,294.8136290000,293.2018740000,294.7785640000,0.1696042870,310.3556520000,303.3402100000,298.5430910000,326.9066470000
7.5000000000,293.2302250000,305.5854490000,316.0068970000,333.3823550000,333.0095520000,297.2978210000,293.1510930000,0.5181863310,0.2645142380,295.9049990000,0.2112686780,295.2117310000,0.2112686780,295.2117310000,0.1242789700,294.2936710000,0.0354232825,293.5051570000,298.5478820000,296.8284610000,296.2139890000,295.9049990000,295.2232970000,294.8151550000,293.2019040000,294.7800600000,0.1696042870,310.3706970000,303.3491820000,298.5478820000,326.9379270000
7.5100002300,293.2302860000,305.5959780000,316.0267330000,333.4190980000,333.0437320000,297.3012080000,293.1510930000,0.5181863310,0.2645142380,295.9074710000,0.2112686780,295.2135620000,0.2112686780,295.2135620000,0.1242789700,294.2946780000,0.0354232825,293.5054630000,298.5526430000,296.8316960000,296.2167050000,295.9074710000,295.2251590000,294.8166810000,293.2019650000,294.7815550000,0.1696042870,310.3857420000,303.3581540000,298.5526430000,326.9691470000
7.5199999800,293.2303470000,305.6065060000,316.0465090000,333.4558110000,333.0778500000,297.3045650000,293.1510930000,0.5181863310,0.2645142380,295.9099120000,0.2112686780,295.2154240000,0.2112686780,295.2154240000,0.1242789700,294.2957150000,0.0354232788,293.5057980000,298.5574040000,296.8349610000,296.2194520000,295.9099120000,295.2270200000,294.8181760000,293.2020260000,294.7830200000,0.1696042870,310.4007570000,303.3670960000,298.5574040000,327.0003360000
