Time [s],Monitor Point: MouthpieceAbove1mm0mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm1mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm2mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm3mmTemp (Temperature) [K],Monitor Point: MouthpieceAbove1mm4mmTemp (Temperature) [K]
0.3849999900,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3860000070,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3869999950,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3880000110,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3889999990,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3899999860,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3910000030,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3919999900,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3930000070,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3939999940,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3950000110,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3959999980,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3970000150,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3980000020,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.3989999890,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.4000000060,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.4009999930,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.4020000100,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.4029999970,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.4040000140,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.4050000010,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.4059999880,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.4070000050,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.4079999920,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.4090000090,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.4099999960,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.4110000130,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.4120000000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.4129999880,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.4140000050,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.4149999920,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.4160000090,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.4169999960,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.4180000130,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
0.4190000000,293.1499940000,293.1499940000,293.1499940000,293.1499940000,293.1499940000
