Time [ s ],Monitor Point: Coil12 X0 Z0089 (Temperature) [ K ]
0.3420000080,293.5651250000
0.3429999950,293.5663450000
0.3440000120,293.5675960000
0.3449999990,293.5688170000
0.3459999860,293.5700680000
0.3470000030,293.5712890000
0.3479999900,293.5725100000
0.3490000070,293.5737610000
0.3499999940,293.5749820000
0.3510000110,293.5762330000
0.3519999980,293.5774540000
0.3529999850,293.5787050000
0.3540000020,293.5799260000
0.3549999890,293.5811460000
0.3560000060,293.5823670000
0.3569999930,293.5836180000
0.3580000100,293.5848390000
0.3589999970,293.5860900000
0.3600000140,293.5873110000
0.3610000010,293.5885310000
0.3619999890,293.5897830000
0.3630000050,293.5910030000
0.3639999930,293.5922240000
0.3650000100,293.5934450000
0.3659999970,293.5946960000
0.3670000140,293.5959170000
0.3680000010,293.5971370000
0.3689999880,293.5983890000
0.3700000050,293.5996090000
0.3709999920,293.6008300000
0.3720000090,293.6020810000
0.3729999960,293.6033020000
0.3740000130,293.6045230000
0.3750000000,293.6057430000
0.3759999870,293.6069950000
0.3770000040,293.6082150000
0.3779999910,293.6094360000
0.3790000080,293.6106570000
0.3799999950,293.6118770000
0.3810000120,293.6131290000
0.3819999990,293.6143490000
0.3829999860,293.6155700000
0.3840000030,293.6167910000
0.3849999900,293.6180420000
0.3860000070,293.6192630000
0.3869999950,293.6204830000
0.3880000110,293.6217040000
0.3889999990,293.6229250000
0.3899999860,293.6241460000
0.3910000030,293.6253970000
0.3919999900,293.6266170000
0.3930000070,293.6278380000
0.3939999940,293.6290590000
0.3950000110,293.6302800000
0.3959999980,293.6315000000
0.3970000150,293.6327510000
0.3980000020,293.6339720000
0.3989999890,293.6351930000
0.4000000060,293.6364140000
0.4009999930,293.6376340000
0.4020000100,293.6388550000
0.4029999970,293.6400760000
0.4040000140,293.6412960000
0.4050000010,293.6425170000
0.4059999880,293.6437380000
0.4070000050,293.6449890000
0.4079999920,293.6462100000
0.4090000090,293.6474300000
0.4099999960,293.6486510000
0.4110000130,293.6498720000
0.4120000000,293.6510930000
0.4129999880,293.6523130000
0.4140000050,293.6535340000
0.4149999920,293.6547550000
0.4160000090,293.6559750000
0.4169999960,293.6571960000
0.4180000130,293.6584170000
0.4190000000,293.6596370000
0.4199999870,293.6608580000
0.4210000040,293.6620790000
0.4219999910,293.6633000000
0.4230000080,293.6645200000
0.4239999950,293.6657410000
0.4250000120,293.6669620000
0.4259999990,293.6681820000
0.4269999860,293.6694030000
0.4280000030,293.6706240000
0.4289999900,293.6718440000
0.4300000070,293.6730650000
0.4309999940,293.6742860000
0.4320000110,293.6755070000
0.4329999980,293.6767270000
0.4339999850,293.6779170000
0.4350000020,293.6791380000
0.4359999900,293.6803590000
0.4370000060,293.6815800000
0.4379999940,293.6828000000
0.4390000100,293.6840210000
0.4399999980,293.6852420000
0.4410000150,293.6864620000
0.4420000020,293.6876830000
0.4429999890,293.6889040000
0.4440000060,293.6901250000
0.4449999930,293.6913450000
0.4460000100,293.6925350000
0.4469999970,293.6937560000
0.4480000140,293.6949770000
0.4490000010,293.6961980000
0.4499999880,293.6974180000
0.4510000050,293.6986080000
0.4519999920,293.6998290000
0.4530000090,293.7010500000
0.4539999960,293.7022710000
0.4550000130,293.7034910000
0.4560000000,293.7047120000
0.4569999870,293.7059020000
0.4580000040,293.7071230000
0.4589999910,293.7083440000
0.4600000080,293.7095640000
0.4609999950,293.7107850000
0.4620000120,293.7119750000
0.4630000000,293.7131960000
0.4639999870,293.7144170000
0.4650000040,293.7156070000
0.4659999910,293.7168270000
0.4670000080,293.7180480000
0.4679999950,293.7192690000
0.4690000120,293.7204590000
0.4699999990,293.7216800000
0.4709999860,293.7229000000
0.4720000030,293.7241210000
0.4729999900,293.7253110000
0.4740000070,293.7265320000
0.4749999940,293.7277530000
0.4760000110,293.7289730000
0.4769999980,293.7301940000
0.4779999850,293.7313840000
0.4790000020,293.7326050000
0.4799999890,293.7337950000
0.4810000060,293.7350160000
0.4819999930,293.7362370000
0.4830000100,293.7374270000
0.4839999970,293.7386470000
0.4850000140,293.7398680000
0.4860000010,293.7410580000
0.4869999890,293.7422790000
0.4880000050,293.7435000000
0.4889999930,293.7446900000
0.4900000100,293.7459110000
0.4909999970,293.7471310000
0.4920000140,293.7483220000
0.4930000010,293.7495420000
0.4939999880,293.7507320000
0.4950000050,293.7519530000
0.4959999920,293.7531740000
0.4970000090,293.7543640000
0.4979999960,293.7555850000
0.4990000130,293.7567750000
0.5000000000,293.7579960000
0.5009999870,293.7591860000
0.5019999740,293.7604060000
0.5030000210,293.7615970000
0.5040000080,293.7628170000
0.5049999950,293.7640380000
0.5059999820,293.7652280000
0.5070000290,293.7664490000
0.5080000160,293.7676390000
0.5090000030,293.7688600000
0.5099999900,293.7700500000
0.5109999780,293.7712710000
0.5120000240,293.7724610000
0.5130000110,293.7736820000
0.5139999990,293.7748720000
0.5149999860,293.7760930000
0.5159999730,293.7772830000
0.5170000200,293.7785030000
0.5180000070,293.7796940000
0.5189999940,293.7809140000
0.5199999810,293.7821040000
0.5210000280,293.7833250000
0.5220000150,293.7845150000
0.5230000020,293.7857060000
0.5239999890,293.7869260000
0.5249999760,293.7881160000
0.5260000230,293.7893070000
0.5270000100,293.7905270000
0.5279999970,293.7917180000
0.5289999840,293.7929380000
0.5299999710,293.7941280000
0.5310000180,293.7953190000
0.5320000050,293.7965390000
0.5329999920,293.7977290000
0.5339999790,293.7989500000
0.5350000260,293.8001400000
0.5360000130,293.8013310000
0.5370000000,293.8025510000
0.5379999880,293.8037410000
0.5389999750,293.8049320000
0.5400000210,293.8061520000
0.5410000090,293.8073430000
0.5419999960,293.8085630000
0.5429999830,293.8097530000
0.5440000300,293.8109440000
0.5450000170,293.8121640000
0.5460000040,293.8133540000
0.5469999910,293.8145450000
0.5479999780,293.8157350000
0.5490000250,293.8169250000
0.5500000120,293.8181460000
0.5509999990,293.8193360000
0.5519999860,293.8205260000
0.5529999730,293.8217470000
0.5540000200,293.8229370000
0.5550000070,293.8241270000
0.5559999940,293.8253170000
0.5569999810,293.8265380000
0.5580000280,293.8277280000
0.5590000150,293.8289180000
0.5600000020,293.8301090000
0.5609999900,293.8313290000
0.5619999770,293.8325200000
0.5630000230,293.8337100000
0.5640000100,293.8349000000
0.5649999980,293.8361210000
0.5659999850,293.8373110000
0.5669999720,293.8385010000
0.5680000190,293.8396910000
0.5690000060,293.8408810000
0.5699999930,293.8421020000
0.5709999800,293.8432920000
0.5720000270,293.8444820000
0.5730000140,293.8456730000
0.5740000010,293.8468630000
0.5749999880,293.8480530000
0.5759999750,293.8492740000
0.5770000220,293.8504640000
0.5780000090,293.8516540000
0.5789999960,293.8528440000
0.5799999830,293.8540340000
0.5809999700,293.8552250000
0.5820000170,293.8564150000
0.5830000040,293.8576050000
0.5839999910,293.8587950000
0.5849999790,293.8599850000
0.5860000250,293.8611760000
0.5870000120,293.8623660000
0.5880000000,293.8635860000
0.5889999870,293.8647770000
0.5899999740,293.8659670000
0.5910000210,293.8671570000
0.5920000080,293.8683470000
0.5929999950,293.8695370000
0.5939999820,293.8707280000
0.5950000290,293.8719180000
0.5960000160,293.8731080000
0.5970000030,293.8742980000
0.5979999900,293.8754880000
0.5989999770,293.8766780000
0.6000000240,293.8778690000
0.6010000110,293.8790590000
0.6019999980,293.8802490000
0.6029999850,293.8814390000
0.6039999720,293.8826290000
0.6050000190,293.8838200000
0.6060000060,293.8850100000
0.6069999930,293.8862000000
0.6079999800,293.8873900000
0.6090000270,293.8885800000
0.6100000140,293.8897710000
0.6110000010,293.8909610000
0.6119999890,293.8921510000
0.6129999760,293.8933410000
0.6140000220,293.8945310000
0.6150000100,293.8957210000
0.6159999970,293.8969120000
0.6169999840,293.8981020000
0.6179999710,293.8992920000
0.6190000180,293.9004820000
0.6200000050,293.9016420000
0.6209999920,293.9028320000
0.6219999790,293.9040220000
0.6230000260,293.9052120000
0.6240000130,293.9064030000
0.6250000000,293.9075930000
0.6259999870,293.9087830000
0.6269999740,293.9099730000
0.6280000210,293.9111330000
0.6290000080,293.9123230000
0.6299999950,293.9135130000
0.6309999820,293.9147030000
0.6320000290,293.9158940000
0.6330000160,293.9170840000
0.6340000030,293.9182740000
0.6349999900,293.9194340000
0.6359999780,293.9206240000
0.6370000240,293.9218140000
0.6380000110,293.9230040000
0.6389999990,293.9241940000
0.6399999860,293.9253540000
0.6409999730,293.9265440000
0.6420000200,293.9277340000
0.6430000070,293.9289250000
0.6439999940,293.9301150000
0.6449999810,293.9312740000
0.6460000280,293.9324650000
0.6470000150,293.9336550000
0.6480000020,293.9348450000
0.6489999890,293.9360050000
0.6499999760,293.9371950000
0.6510000230,293.9383850000
0.6520000100,293.9395750000
0.6529999970,293.9407350000
0.6539999840,293.9419250000
0.6549999710,293.9431150000
0.6560000180,293.9442750000
0.6570000050,293.9454650000
0.6579999920,293.9466550000
0.6589999790,293.9478150000
0.6600000260,293.9490050000
0.6610000130,293.9501950000
0.6620000000,293.9513550000
0.6629999880,293.9525450000
0.6639999750,293.9537350000
0.6650000210,293.9548950000
0.6660000090,293.9560850000
0.6669999960,293.9572750000
0.6679999830,293.9584350000
0.6690000300,293.9596250000
0.6700000170,293.9608150000
0.6710000040,293.9619750000
0.6719999910,293.9631650000
0.6729999780,293.9643250000
0.6740000250,293.9655150000
0.6750000120,293.9667050000
0.6759999990,293.9678650000
0.6769999860,293.9690550000
0.6779999730,293.9702150000
0.6790000200,293.9714050000
0.6800000070,293.9725950000
0.6809999940,293.9737550000
0.6819999810,293.9749450000
0.6830000280,293.9761350000
0.6840000150,293.9772950000
0.6850000020,293.9784850000
0.6859999900,293.9796450000
0.6869999770,293.9808350000
0.6880000230,293.9819950000
0.6890000100,293.9831850000
0.6899999980,293.9843440000
0.6909999850,293.9855350000
0.6919999720,293.9866940000
0.6930000190,293.9878850000
0.6940000060,293.9890440000
0.6949999930,293.9902340000
0.6959999800,293.9913940000
0.6970000270,293.9925840000
0.6980000140,293.9937440000
0.6990000010,293.9949340000
0.6999999880,293.9960940000
0.7009999750,293.9972840000
0.7020000220,293.9984440000
0.7030000090,293.9996340000
0.7039999960,294.0007930000
0.7049999830,294.0019840000
0.7059999700,294.0031430000
0.7070000170,294.0043030000
0.7080000040,294.0054930000
0.7089999910,294.0066530000
0.7099999790,294.0078430000
0.7110000250,294.0090030000
0.7120000120,294.0101930000
0.7130000000,294.0113530000
0.7139999870,294.0125120000
0.7149999740,294.0137020000
0.7160000210,294.0148620000
0.7170000080,294.0160520000
0.7179999950,294.0172120000
0.7189999820,294.0183720000
0.7200000290,294.0195620000
0.7210000160,294.0207210000
0.7220000030,294.0218810000
0.7229999900,294.0230710000
0.7239999770,294.0242310000
0.7250000240,294.0253910000
0.7260000110,294.0265810000
0.7269999980,294.0277400000
0.7279999850,294.0289000000
0.7289999720,294.0300900000
0.7300000190,294.0312500000
0.7310000060,294.0324100000
0.7319999930,294.0336000000
0.7329999800,294.0347600000
0.7340000270,294.0359190000
0.7350000140,294.0370790000
0.7360000010,294.0382690000
0.7369999890,294.0394290000
0.7379999760,294.0405880000
0.7390000220,294.0417480000
0.7400000100,294.0429380000
0.7409999970,294.0440980000
0.7419999840,294.0452580000
0.7429999710,294.0464170000
0.7440000180,294.0476070000
0.7450000050,294.0487670000
0.7459999920,294.0499270000
0.7469999790,294.0510860000
0.7480000260,294.0522770000
0.7490000130,294.0534360000
0.7500000000,294.0545960000
0.7509999870,294.0557560000
0.7519999740,294.0569150000
0.7530000210,294.0580750000
0.7540000080,294.0592650000
0.7549999950,294.0604250000
0.7559999820,294.0615840000
0.7570000290,294.0627440000
0.7580000160,294.0639340000
0.7590000030,294.0650940000
0.7599999900,294.0662540000
0.7609999780,294.0674130000
0.7620000240,294.0685730000
0.7630000110,294.0697330000
0.7639999990,294.0708920000
0.7649999860,294.0720830000
0.7659999730,294.0732420000
0.7670000200,294.0744020000
0.7680000070,294.0755620000
0.7689999940,294.0767210000
0.7699999810,294.0778810000
0.7710000280,294.0790410000
0.7720000150,294.0802000000
0.7730000020,294.0813600000
0.7739999890,294.0825200000
0.7749999760,294.0836790000
0.7760000230,294.0848690000
0.7770000100,294.0860290000
0.7779999970,294.0871890000
0.7789999840,294.0883480000
0.7799999710,294.0895080000
0.7810000180,294.0906680000
0.7820000050,294.0918270000
0.7829999920,294.0929870000
0.7839999790,294.0941470000
0.7850000260,294.0953060000
0.7860000130,294.0964660000
0.7870000000,294.0976260000
0.7879999880,294.0987850000
0.7889999750,294.0999450000
0.7900000210,294.1011050000
0.7910000090,294.1022640000
0.7919999960,294.1034240000
0.7929999830,294.1045840000
0.7940000300,294.1057430000
0.7950000170,294.1069030000
0.7960000040,294.1080630000
0.7969999910,294.1092220000
0.7979999780,294.1103820000
0.7990000250,294.1115420000
0.8000000120,294.1127010000
0.8009999990,294.1138610000
0.8019999860,294.1149900000
0.8029999730,294.1161500000
0.8040000200,294.1173100000
0.8050000070,294.1184690000
0.8059999940,294.1196290000
0.8069999810,294.1207890000
0.8080000280,294.1219480000
0.8090000150,294.1231080000
0.8100000020,294.1242680000
0.8109999900,294.1254270000
0.8119999770,294.1265870000
0.8130000230,294.1277470000
0.8140000100,294.1289060000
0.8149999980,294.1300660000
0.8159999850,294.1312260000
0.8169999720,294.1323850000
0.8180000190,294.1335450000
0.8190000060,294.1346740000
0.8199999930,294.1358340000
0.8209999800,294.1369930000
0.8220000270,294.1381530000
0.8230000140,294.1393130000
0.8240000010,294.1404720000
0.8249999880,294.1416020000
0.8259999750,294.1427610000
0.8270000220,294.1439210000
0.8280000090,294.1450810000
0.8289999960,294.1462100000
0.8299999830,294.1473690000
0.8309999700,294.1485290000
0.8320000170,294.1496890000
0.8330000040,294.1508180000
0.8339999910,294.1519780000
0.8349999790,294.1531370000
0.8360000250,294.1542970000
0.8370000120,294.1554260000
0.8380000000,294.1565860000
0.8389999870,294.1577450000
0.8399999740,294.1589050000
0.8410000210,294.1600650000
0.8420000080,294.1611940000
0.8429999950,294.1623540000
0.8439999820,294.1635130000
0.8450000290,294.1646420000
0.8460000160,294.1658020000
0.8470000030,294.1669620000
0.8479999900,294.1680910000
0.8489999770,294.1692500000
0.8500000240,294.1704100000
0.8510000110,294.1715390000
0.8519999980,294.1726990000
0.8529999850,294.1738590000
0.8539999720,294.1749880000
0.8550000190,294.1761470000
0.8560000060,294.1773070000
0.8569999930,294.1784360000
0.8579999800,294.1795960000
0.8590000270,294.1807250000
0.8600000140,294.1818850000
0.8610000010,294.1830440000
0.8619999890,294.1842040000
0.8629999760,294.1853330000
0.8640000220,294.1864930000
0.8650000100,294.1876220000
0.8659999970,294.1887820000
0.8669999840,294.1899110000
0.8679999710,294.1910710000
0.8690000180,294.1922300000
0.8700000050,294.1933590000
0.8709999920,294.1945190000
0.8719999790,294.1956480000
0.8730000260,294.1968080000
0.8740000130,294.1979370000
0.8750000000,294.1990970000
0.8759999870,294.2002260000
0.8769999740,294.2013850000
0.8780000210,294.2025450000
0.8790000080,294.2036740000
0.8799999950,294.2048340000
0.8809999820,294.2059630000
0.8820000290,294.2071230000
0.8830000160,294.2082520000
0.8840000030,294.2094120000
0.8849999900,294.2105410000
0.8859999780,294.2117000000
0.8870000240,294.2128300000
0.8880000110,294.2139890000
0.8889999990,294.2151180000
0.8899999860,294.2162480000
0.8909999730,294.2174070000
0.8920000200,294.2185360000
0.8930000070,294.2196960000
0.8939999940,294.2208250000
0.8949999810,294.2219850000
0.8960000280,294.2231140000
0.8970000150,294.2242740000
0.8980000020,294.2254030000
0.8989999890,294.2265630000
0.8999999760,294.2276920000
0.9010000230,294.2288210000
0.9020000100,294.2299800000
0.9029999970,294.2311100000
0.9039999840,294.2322390000
0.9049999710,294.2333980000
0.9060000180,294.2345280000
0.9070000050,294.2356870000
0.9079999920,294.2368160000
0.9089999790,294.2379460000
0.9100000260,294.2391050000
0.9110000130,294.2402340000
0.9120000000,294.2413940000
0.9129999880,294.2425230000
0.9139999750,294.2436520000
0.9150000210,294.2448120000
0.9160000090,294.2459410000
0.9169999960,294.2470700000
0.9179999830,294.2481990000
0.9190000300,294.2493590000
0.9200000170,294.2504880000
0.9210000040,294.2516170000
0.9219999910,294.2527770000
0.9229999780,294.2539060000
0.9240000250,294.2550350000
0.9250000120,294.2561950000
0.9259999990,294.2573240000
0.9269999860,294.2584530000
0.9279999730,294.2595830000
0.9290000200,294.2607420000
0.9300000070,294.2618710000
0.9309999940,294.2630000000
0.9319999810,294.2641300000
0.9330000280,294.2652890000
0.9340000150,294.2664180000
0.9350000020,294.2675480000
0.9359999900,294.2686770000
0.9369999770,294.2698060000
0.9380000230,294.2709660000
0.9390000100,294.2720950000
0.9399999980,294.2732240000
0.9409999850,294.2743840000
0.9419999720,294.2755130000
0.9430000190,294.2766420000
0.9440000060,294.2777710000
0.9449999930,294.2789000000
0.9459999800,294.2800290000
0.9470000270,294.2811580000
0.9480000140,294.2823180000
0.9490000010,294.2834470000
0.9499999880,294.2845760000
0.9509999750,294.2857060000
0.9520000220,294.2868350000
0.9530000090,294.2879940000
0.9539999960,294.2891240000
0.9549999830,294.2902530000
0.9559999700,294.2913820000
0.9570000170,294.2925110000
0.9580000040,294.2936400000
0.9589999910,294.2947690000
0.9599999790,294.2958980000
0.9610000250,294.2970280000
0.9620000120,294.2981570000
0.9630000000,294.2992860000
0.9639999870,294.3004150000
0.9649999740,294.3015750000
0.9660000210,294.3027040000
0.9670000080,294.3038330000
0.9679999950,294.3049620000
0.9689999820,294.3060910000
0.9700000290,294.3072200000
0.9710000160,294.3083500000
0.9720000030,294.3094790000
0.9729999900,294.3106080000
0.9739999770,294.3117370000
0.9750000240,294.3128660000
0.9760000110,294.3139950000
0.9769999980,294.3151250000
0.9779999850,294.3162540000
0.9789999720,294.3173830000
0.9800000190,294.3185120000
0.9810000060,294.3196410000
0.9819999930,294.3207700000
0.9829999800,294.3218990000
0.9840000270,294.3230290000
0.9850000140,294.3241580000
0.9860000010,294.3252870000
0.9869999890,294.3264160000
0.9879999760,294.3275450000
0.9890000220,294.3286740000
0.9900000100,294.3298030000
0.9909999970,294.3309330000
