Time [s],Monitor Point: CenterVel (Velocity) [m s^-1],Monitor Point: Inlet (Velocity) [m s^-1],Monitor Point: r0Vel (Velocity) [m s^-1],Monitor Point: r1Vel (Velocity) [m s^-1],Monitor Point: r2Vel (Velocity) [m s^-1],Monitor Point: r3Vel (Velocity) [m s^-1],Monitor Point: r4Vel (Velocity) [m s^-1]
9.9984998700,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427928
10.0010004000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427928
10.0035000000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427928
10.0059996000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427928
10.0085001000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427928
10.0109997000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.0135002000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.0159998000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.0185003000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.0209999000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.0235004000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.0260000000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.0284996000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.0310001000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.0334997000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.0360003000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.0384998000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.0410004000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.0434999000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.0459995000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.0485001000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.0509996000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.0535002000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.0559998000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.0585003000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
10.0609999000,0.5013635160,0.5086324810,0.5013635160,0.4631942510,0.2949694690,0.1280996350,0.0250427946
