Time [s],Monitor Point: Mouthpiece1mm0mmTempX0YZ (Temperature) [K],Monitor Point: Mouthpiece1mm1mmTempX0YZ (Temperature) [K],Monitor Point: Mouthpiece1mm2mmTempX0YZ (Temperature) [K],Monitor Point: Mouthpiece1mm3mmTempX0YZ (Temperature) [K],Monitor Point: Mouthpiece1mm4mmTempX0YZ (Temperature) [K]
0.1759999990,293.1602780000,293.1595150000,293.1563420000,293.1531680000,293.1506350000
0.1784999970,293.1608280000,293.1600340000,293.1567380000,293.1533810000,293.1506960000
0.1809999940,293.1614070000,293.1605830000,293.1571350000,293.1535950000,293.1507260000
0.1835000070,293.1620180000,293.1611630000,293.1575320000,293.1538090000,293.1507870000
0.1860000040,293.1626280000,293.1617430000,293.1579280000,293.1540530000,293.1508480000
0.1885000020,293.1632690000,293.1623230000,293.1583560000,293.1542970000,293.1509090000
0.1910000000,293.1639100000,293.1629330000,293.1588130000,293.1545410000,293.1509700000
0.1934999970,293.1645810000,293.1635740000,293.1592710000,293.1547850000,293.1510310000
0.1959999950,293.1652530000,293.1642150000,293.1597290000,293.1550290000,293.1510930000
0.1985000070,293.1659550000,293.1648560000,293.1602170000,293.1553040000,293.1511840000
0.2010000050,293.1666560000,293.1655580000,293.1607060000,293.1555790000,293.1512450000
0.2035000030,293.1674190000,293.1662290000,293.1612240000,293.1558840000,293.1513060000
0.2060000000,293.1681520000,293.1669620000,293.1617130000,293.1561580000,293.1513980000
0.2084999980,293.1689150000,293.1676640000,293.1622620000,293.1564640000,293.1514590000
0.2109999950,293.1697080000,293.1684270000,293.1628110000,293.1567690000,293.1515500000
0.2134999930,293.1705020000,293.1691590000,293.1633610000,293.1571040000,293.1516420000
0.2160000060,293.1713260000,293.1699520000,293.1639100000,293.1574400000,293.1517330000
0.2185000030,293.1721500000,293.1707460000,293.1645200000,293.1577760000,293.1518250000
0.2210000010,293.1730040000,293.1715390000,293.1651000000,293.1581120000,293.1519170000
0.2234999980,293.1738590000,293.1723630000,293.1657100000,293.1584780000,293.1520080000
0.2259999960,293.1747440000,293.1731870000,293.1663510000,293.1588440000,293.1521000000
0.2284999940,293.1756290000,293.1740720000,293.1669620000,293.1592100000,293.1522220000
0.2310000060,293.1765750000,293.1749270000,293.1676330000,293.1595760000,293.1523130000
0.2335000040,293.1774900000,293.1758120000,293.1682740000,293.1599730000,293.1524350000
0.2360000010,293.1784360000,293.1767270000,293.1689450000,293.1603700000,293.1525270000
0.2384999990,293.1794130000,293.1776430000,293.1696470000,293.1607670000,293.1526490000
0.2409999970,293.1803890000,293.1785890000,293.1703490000,293.1611940000,293.1527710000
0.2434999940,293.1813960000,293.1795350000,293.1710820000,293.1615910000,293.1528930000
0.2460000070,293.1824040000,293.1805110000,293.1717830000,293.1620180000,293.1530150000
0.2485000040,293.1834410000,293.1814880000,293.1725460000,293.1624760000,293.1531370000
0.2509999870,293.1844790000,293.1824950000,293.1732790000,293.1629330000,293.1532900000
0.2535000150,293.1855470000,293.1835020000,293.1740720000,293.1633910000,293.1534120000
0.2560000120,293.1866460000,293.1845400000,293.1748350000,293.1638490000,293.1535640000
0.2585000100,293.1877440000,293.1855770000,293.1756290000,293.1643070000,293.1536870000
0.2610000070,293.1888430000,293.1866460000,293.1764530000,293.1647950000,293.1538390000
0.2635000050,293.1900020000,293.1877440000,293.1772770000,293.1653140000,293.1539920000
0.2660000030,293.1911320000,293.1888430000,293.1781010000,293.1658020000,293.1541440000
0.2685000000,293.1923220000,293.1899410000,293.1789550000,293.1663210000,293.1542660000
0.2709999980,293.1934810000,293.1910710000,293.1798100000,293.1668400000,293.1544490000
0.2734999950,293.1947020000,293.1922300000,293.1806950000,293.1673580000,293.1546020000
0.2759999930,293.1959230000,293.1933900000,293.1815800000,293.1679080000,293.1547550000
0.2784999910,293.1971440000,293.1945800000,293.1824950000,293.1684570000,293.1549380000
0.2809999880,293.1983950000,293.1957700000,293.1834110000,293.1690060000,293.1550900000
0.2834999860,293.1996770000,293.1969910000,293.1843570000,293.1695860000,293.1552730000
0.2860000130,293.2009580000,293.1982120000,293.1853030000,293.1701350000,293.1554260000
0.2885000110,293.2022710000,293.1994630000,293.1862490000,293.1707460000,293.1556090000
0.2910000090,293.2035830000,293.2007450000,293.1872250000,293.1713260000,293.1557920000
0.2935000060,293.2048950000,293.2019960000,293.1882320000,293.1719360000,293.1559750000
0.2960000040,293.2062680000,293.2033080000,293.1892090000,293.1725460000,293.1561890000
0.2985000010,293.2076420000,293.2046200000,293.1902470000,293.1731570000,293.1563720000
0.3009999990,293.2090150000,293.2059630000,293.1912840000,293.1737980000,293.1565550000
0.3034999970,293.2104190000,293.2073060000,293.1923220000,293.1744380000,293.1567690000
0.3059999940,293.2118530000,293.2086790000,293.1933590000,293.1750790000,293.1569820000
0.3084999920,293.2132870000,293.2100520000,293.1944270000,293.1757510000,293.1571660000
0.3109999900,293.2147520000,293.2114560000,293.1955260000,293.1764220000,293.1573790000
0.3134999870,293.2162170000,293.2128600000,293.1966250000,293.1770940000,293.1575930000
0.3160000150,293.2177120000,293.2142940000,293.1977230000,293.1777650000,293.1578060000
0.3185000120,293.2192080000,293.2157290000,293.1988530000,293.1784670000,293.1580200000
0.3210000100,293.2207640000,293.2172240000,293.2000120000,293.1791690000,293.1582640000
0.3235000070,293.2222900000,293.2186890000,293.2011410000,293.1799010000,293.1584780000
0.3260000050,293.2238460000,293.2201840000,293.2023320000,293.1806340000,293.1587220000
0.3285000030,293.2254330000,293.2217100000,293.2034910000,293.1813350000,293.1589360000
0.3310000000,293.2270200000,293.2232360000,293.2046810000,293.1820980000,293.1591800000
0.3334999980,293.2286070000,293.2247920000,293.2059020000,293.1828610000,293.1594240000
0.3359999950,293.2302550000,293.2263490000,293.2071230000,293.1836240000,293.1596680000
0.3384999930,293.2319030000,293.2279050000,293.2083740000,293.1843870000,293.1599120000
0.3409999910,293.2335510000,293.2295230000,293.2096250000,293.1851500000,293.1601560000
0.3434999880,293.2352290000,293.2311400000,293.2108760000,293.1859440000,293.1604310000
0.3459999860,293.2369080000,293.2327580000,293.2121580000,293.1867370000,293.1606750000
0.3485000130,293.2386170000,293.2344060000,293.2134400000,293.1875610000,293.1609500000
0.3510000110,293.2403560000,293.2360840000,293.2147520000,293.1883850000,293.1611940000
0.3535000090,293.2420960000,293.2377620000,293.2160640000,293.1892090000,293.1614690000
0.3560000060,293.2438660000,293.2394410000,293.2174070000,293.1900330000,293.1617430000
0.3585000040,293.2456360000,293.2411500000,293.2187500000,293.1908870000,293.1620180000
0.3610000010,293.2474370000,293.2428890000,293.2201230000,293.1917420000,293.1622920000
0.3634999990,293.2492680000,293.2446290000,293.2214970000,293.1925960000,293.1625670000
0.3659999970,293.2510990000,293.2463990000,293.2228700000,293.1934810000,293.1628720000
0.3684999940,293.2529300000,293.2481690000,293.2242740000,293.1943360000,293.1631470000
0.3709999920,293.2547910000,293.2499690000,293.2257080000,293.1952510000,293.1634520000
0.3734999900,293.2566830000,293.2518010000,293.2271420000,293.1961360000,293.1637270000
0.3759999870,293.2585750000,293.2536320000,293.2285770000,293.1970520000,293.1640320000
0.3785000150,293.2604980000,293.2554630000,293.2300420000,293.1979680000,293.1643370000
0.3810000120,293.2624210000,293.2573240000,293.2315060000,293.1989140000,293.1646420000
0.3835000100,293.2643740000,293.2592160000,293.2330020000,293.1998600000,293.1649480000
0.3860000070,293.2663270000,293.2611080000,293.2344970000,293.2008060000,293.1652830000
0.3885000050,293.2683410000,293.2630310000,293.2360230000,293.2017520000,293.1655880000
0.3910000030,293.2703250000,293.2649540000,293.2375490000,293.2027280000,293.1659240000
0.3935000000,293.2723390000,293.2669070000,293.2391050000,293.2037050000,293.1662290000
0.3959999980,293.2743840000,293.2688600000,293.2406310000,293.2046810000,293.1665650000
0.3984999950,293.2764280000,293.2708440000,293.2422180000,293.2056880000,293.1669010000
0.4009999930,293.2785030000,293.2728270000,293.2438050000,293.2066960000,293.1672360000
0.4034999910,293.2805790000,293.2748410000,293.2453920000,293.2077030000,293.1675720000
0.4059999880,293.2826840000,293.2768860000,293.2470090000,293.2087400000,293.1679080000
0.4084999860,293.2848210000,293.2789310000,293.2486270000,293.2097780000,293.1682740000
0.4110000130,293.2869260000,293.2809750000,293.2502750000,293.2108150000,293.1686100000
0.4135000110,293.2890930000,293.2830810000,293.2519230000,293.2118840000,293.1689760000
0.4160000090,293.2912600000,293.2851560000,293.2536010000,293.2129210000,293.1693120000
0.4185000060,293.2934570000,293.2872920000,293.2552800000,293.2139890000,293.1696780000
0.4210000040,293.2956540000,293.2893980000,293.2569890000,293.2150880000,293.1700440000
0.4235000010,293.2978820000,293.2915650000,293.2586980000,293.2161560000,293.1704100000
0.4259999990,293.3001100000,293.2937320000,293.2604060000,293.2172850000,293.1707760000
0.4284999970,293.3023680000,293.2958980000,293.2621460000,293.2183840000,293.1711730000
0.4309999940,293.3046260000,293.2980960000,293.2639160000,293.2195130000,293.1715390000
0.4334999920,293.3069150000,293.3003230000,293.2656560000,293.2206420000,293.1719060000
0.4359999900,293.3092350000,293.3025510000,293.2674560000,293.2217710000,293.1723020000
0.4384999870,293.3115540000,293.3047790000,293.2692570000,293.2229310000,293.1726990000
0.4410000150,293.3139040000,293.3070370000,293.2710570000,293.2240910000,293.1730960000
0.4435000120,293.3162540000,293.3093260000,293.2728880000,293.2252500000,293.1734920000
0.4460000100,293.3186340000,293.3116150000,293.2747190000,293.2264100000,293.1738890000
0.4485000070,293.3210140000,293.3139340000,293.2765500000,293.2276000000,293.1742860000
0.4510000050,293.3234250000,293.3162540000,293.2784420000,293.2287900000,293.1747130000
0.4535000030,293.3258670000,293.3186040000,293.2803040000,293.2300110000,293.1751100000
0.4560000000,293.3283080000,293.3209840000,293.2821960000,293.2312320000,293.1755070000
0.4584999980,293.3307500000,293.3233640000,293.2840880000,293.2324520000,293.1759340000
0.4609999950,293.3332210000,293.3257450000,293.2860110000,293.2336730000,293.1763610000
0.4634999930,293.3357240000,293.3281560000,293.2879640000,293.2349240000,293.1767880000
0.4659999910,293.3382260000,293.3305660000,293.2898860000,293.2361760000,293.1772160000
0.4684999880,293.3407590000,293.3330380000,293.2918700000,293.2374270000,293.1776430000
0.4709999860,293.3433230000,293.3354800000,293.2938540000,293.2387080000,293.1780700000
0.4735000130,293.3458560000,293.3379820000,293.2958370000,293.2399900000,293.1785280000
0.4760000110,293.3484500000,293.3404540000,293.2978210000,293.2412720000,293.1789550000
0.4785000090,293.3510440000,293.3429570000,293.2998350000,293.2425840000,293.1794130000
0.4810000060,293.3536380000,293.3454900000,293.3018800000,293.2438960000,293.1798710000
0.4835000040,293.3562930000,293.3480530000,293.3039250000,293.2452090000,293.1803280000
0.4860000010,293.3589170000,293.3505860000,293.3060000000,293.2465520000,293.1807560000
0.4884999990,293.3615720000,293.3531800000,293.3080750000,293.2478940000,293.1812440000
0.4909999970,293.3642580000,293.3557740000,293.3101500000,293.2492070000,293.1817020000
0.4934999940,293.3669740000,293.3583680000,293.3122560000,293.2505800000,293.1821590000
0.4959999920,293.3696590000,293.3610230000,293.3143620000,293.2519530000,293.1826480000
0.4984999900,293.3724060000,293.3636470000,293.3164980000,293.2533260000,293.1831050000
0.5009999870,293.3751530000,293.3663020000,293.3186340000,293.2547000000,293.1835940000
0.5034999850,293.3778990000,293.3689880000,293.3208010000,293.2561040000,293.1840820000
0.5059999820,293.3806760000,293.3716740000,293.3229680000,293.2575070000,293.1845700000
