Z [ m ],Temperature [ K ]
0.0465713069,327.2594600000
0.0465092137,327.3163450000
0.0464471206,327.3425290000
0.0463850275,327.3686830000
0.0463229343,327.3948360000
0.0462608412,327.4017330000
0.0461987481,327.3959050000
0.0461366549,327.3900450000
0.0460745618,327.3768620000
0.0460124686,327.3848880000
0.0459503755,327.4224240000
0.0458882824,327.4550170000
0.0458261892,327.4696040000
0.0457640961,327.4983220000
0.0457020029,327.5249020000
0.0456399098,327.5515750000
0.0455778167,327.5760190000
0.0455157235,327.5990600000
0.0454536304,327.6192630000
0.0453915372,327.6432500000
0.0453294441,327.6674800000
0.0452673510,327.6818850000
0.0452052578,327.6951600000
0.0451431647,327.7085570000
0.0450810716,327.7219240000
0.0450189784,327.7352910000
0.0449568853,327.7486570000
0.0448947921,327.7620240000
0.0448326990,327.7753600000
0.0447706059,327.7887570000
0.0447085127,327.8020940000
0.0446464196,327.8154600000
0.0445843264,327.8288270000
0.0445222333,327.8421940000
0.0444601402,327.8527530000
0.0443980470,327.8610840000
0.0443359539,327.8694760000
0.0442738608,327.8778380000
0.0442117676,327.8862300000
0.0441496745,327.8945620000
0.0440875813,327.9029240000
0.0440254882,327.9113160000
0.0439633951,327.9194950000
0.0439013019,327.9280400000
0.0438392088,327.9364010000
0.0437771156,327.9447630000
0.0437150225,327.9531250000
0.0436529294,327.9606930000
0.0435908362,327.9664310000
0.0435287431,327.9716800000
0.0434666499,327.9769590000
0.0434045568,327.9825130000
0.0433424637,327.9878850000
0.0432803705,327.9931640000
0.0432182774,327.9983830000
0.0431561843,328.0038150000
0.0430940911,328.0090940000
0.0430319980,328.0144040000
0.0429699048,328.0197450000
0.0429078117,328.0241390000
0.0428457186,328.0253600000
0.0427836254,328.0261840000
0.0427215323,328.0270390000
0.0426594391,328.0278630000
0.0425973460,328.0287170000
0.0425352529,328.0295720000
0.0424731597,328.0303960000
0.0424110666,328.0312500000
0.0423489735,328.0437620000
0.0422868803,328.0581670000
0.0422247872,328.0699460000
0.0421626940,328.0704350000
0.0421006009,328.0708620000
0.0420385078,328.0713500000
0.0419764146,328.0718080000
0.0419143215,328.0722960000
0.0418522283,328.0743710000
0.0417901352,328.0764770000
0.0417280421,328.0786130000
0.0416659489,328.0792850000
0.0416038558,328.0872500000
0.0415417627,328.0964970000
0.0414796695,328.1057740000
0.0414175764,328.1150210000
0.0413554832,328.1242680000
0.0412933901,328.1334840000
0.0412312970,328.1427610000
0.0411692038,328.1466370000
0.0411071107,328.1499630000
0.0410450175,328.1532590000
0.0409829244,328.1566160000
0.0409208313,328.1596980000
0.0408587381,328.1627810000
0.0407966450,328.1513670000
0.0407345518,328.1361390000
0.0406724587,328.1209410000
0.0406103656,328.1074220000
0.0405482724,328.1371150000
0.0404861793,328.1811830000
0.0404240862,328.2252810000
0.0403619930,328.2699580000
0.0402998999,328.3109130000
0.0402378067,328.3522030000
0.0401757136,328.3934630000
0.0401136205,328.4347230000
0.0400515273,328.4760130000
0.0399894342,328.4889220000
0.0399273410,328.4729310000
0.0398652479,328.4489750000
0.0398031548,328.4423220000
0.0397410616,328.4997250000
0.0396789685,328.5302430000
0.0396168754,328.5579830000
0.0395547822,328.5650020000
0.0394926891,328.5720210000
0.0394305959,328.5790410000
0.0393685028,328.5845950000
0.0393064097,328.5885010000
0.0392443165,328.5923770000
0.0391822234,328.5962520000
0.0391201302,328.6001590000
0.0390580371,328.6040950000
0.0389959440,328.6079710000
0.0389338508,328.6131290000
0.0388717577,328.6289060000
0.0388096645,328.6447140000
0.0387475714,328.6546020000
0.0386854783,328.6611020000
0.0386233851,328.6675720000
0.0385612920,328.6768800000
0.0384991989,328.7005000000
0.0384371057,328.7240600000
0.0383750126,328.7476810000
0.0383129194,328.7712400000
0.0382508263,328.7948610000
0.0381887332,328.8184200000
0.0381266400,328.8420100000
0.0380645469,328.8656310000
0.0380024537,328.8892210000
0.0379403606,328.9127500000
0.0378782675,328.9367370000
0.0378161743,328.9732060000
0.0377540812,329.0097660000
0.0376919881,329.0463260000
0.0376298949,329.0819090000
0.0375678018,329.1125490000
0.0375057086,329.1349790000
0.0374436155,329.1483760000
0.0373815224,329.1618040000
0.0373194292,329.1752010000
0.0372573361,329.1871950000
0.0371952429,329.1950070000
0.0371331498,329.2027590000
0.0370710567,329.2105410000
0.0370089635,329.2233280000
0.0369468704,329.2373050000
0.0368847772,329.2513430000
0.0368226841,329.2653500000
0.0367605910,329.2793580000
0.0366984978,329.2933350000
0.0366364047,329.3076780000
0.0365743116,329.3224490000
0.0365122184,329.3249210000
