Z [ m ],Velocity [ m s^-1 ]
0.0276951008,0.9743062260
0.0276330095,0.9744529130
0.0275709182,0.9750072960
0.0275088269,0.9755405780
0.0274467357,0.9755724070
0.0273846444,0.9756044750
0.0273225531,0.9753932360
0.0272604618,0.9747109410
0.0271983705,0.9744468930
0.0271362793,0.9751805660
0.0270741880,0.9758598210
0.0270120967,0.9761309620
0.0269500054,0.9762233500
0.0268879142,0.9763155580
0.0268258229,0.9764080050
0.0267637316,0.9765978460
0.0267016403,0.9768449660
0.0266395491,0.9770921470
0.0265774578,0.9771997330
0.0265153665,0.9771072860
0.0264532752,0.9770150780
0.0263911840,0.9769226310
0.0263290927,0.9768302440
0.0262670014,0.9768850210
0.0262049101,0.9769832490
0.0261428189,0.9770815970
0.0260807276,0.9779592750
0.0260186363,0.9787474270
0.0259565450,0.9795384410
0.0258944537,0.9802818300
0.0258323625,0.9804209470
0.0257702712,0.9804197550
0.0257081799,0.9803919200
0.0256460886,0.9801248910
0.0255839974,0.9798579220
0.0255219061,0.9799609180
0.0254598148,0.9793112280
0.0253977235,0.9785307050
0.0253356323,0.9777690770
0.0252735410,0.9774429200
0.0252114497,0.9789469840
0.0251493584,0.9804509880
0.0250872672,0.9815701840
0.0250251759,0.9818559890
0.0249630846,0.9821220640
0.0249009933,0.9824421410
0.0248389021,0.9827622180
0.0247768108,0.9830822940
0.0247147195,0.9831663370
0.0246526282,0.9831075670
0.0245905370,0.9831928610
0.0245284457,0.9832783340
0.0244663544,0.9833636880
0.0244042631,0.9834491010
0.0243421718,0.9834423070
0.0242800806,0.9839141370
0.0242179893,0.9837265610
0.0241558980,0.9834368230
0.0240938067,0.9831470850
0.0240317155,0.9828574060
0.0239696242,0.9825835230
0.0239075329,0.9823375940
0.0238454416,0.9822837110
0.0237833504,0.9825679060
0.0237212591,0.9828520420
0.0236591678,0.9831362370
0.0235970765,0.9830366370
0.0235349853,0.9827888610
0.0234728940,0.9829927090
0.0234108027,0.9836751220
0.0233487114,0.9847278590
0.0232866202,0.9847692850
0.0232245289,0.9847422840
0.0231624376,0.9847154020
0.0231003463,0.9846854810
0.0230382551,0.9850134250
0.0229761638,0.9853413700
0.0229140725,0.9856693740
0.0228519812,0.9859629870
0.0227898899,0.9857963320
0.0227277987,0.9858078960
0.0226657074,0.9863078590
0.0226036161,0.9855094550
0.0225415248,0.9847110510
0.0224794336,0.9839125870
0.0224173423,0.9842817780
0.0223552510,0.9846401210
0.0222931597,0.9849983450
0.0222310685,0.9853349920
0.0221689772,0.9853379730
0.0221068859,0.9852777720
0.0220447946,0.9852176310
0.0219827034,0.9847392440
0.0219206121,0.9851586820
0.0218585208,0.9855668540
0.0217964295,0.9859498140
0.0217343383,0.9861360190
0.0216722470,0.9861968160
0.0216101557,0.9862574930
0.0215480644,0.9862286450
0.0214859731,0.9862104650
0.0214238819,0.9864048360
0.0213617906,0.9865625500
0.0212996993,0.9866948130
0.0212376080,0.9868683820
0.0211755168,0.9865692260
0.0211134255,0.9863566760
0.0210513342,0.9863405820
0.0209892429,0.9868764880
0.0209271517,0.9874100090
0.0208650604,0.9879186150
0.0208029691,0.9884272220
0.0207408778,0.9887507560
0.0206787866,0.9890919920
0.0206166953,0.9894575480
0.0205546040,0.9898373480
0.0204925127,0.9901735780
0.0204304215,0.9897833470
0.0203683302,0.9893583060
0.0203062389,0.9889855380
