 Y [ m ],Tol_4_Velocity [ m s^-1 ], Tol_6_Velocity [ m s^-1 ]
0.0124002,0.94253051,0.94243282
0.01240601,0.94251853,0.94242525
0.01241182,0.94250655,0.94241744
0.01241762,0.94250554,0.94241899
0.01242343,0.94250542,0.94242126
0.01242923,0.94250530,0.94242352
0.01243504,0.94249994,0.94241828
0.01244084,0.94249433,0.9424125
0.01244665,0.94248855,0.94240665
0.01245246,0.94248289,0.94240087
0.01245826,0.94247717,0.94239515
0.01246407,0.94247144,0.94238943
0.01246987,0.94246578,0.94238365
0.01247568,0.94246018,0.94237798
0.01248149,0.94245452,0.94237226
0.01248729,0.94244897,0.9423666
0.0124931,0.94245064,0.94236892
0.0124989,0.94245386,0.94237274
0.01250471,0.94245702,0.94237643
0.01251051,0.94246024,0.94238037
0.01251632,0.94246340,0.94238418
0.01252213,0.94246548,0.94238633
0.01252793,0.94246501,0.9423843
0.01253374,0.94246447,0.94238216
0.01253954,0.94246393,0.94238025
0.01254535,0.94246352,0.9423781
0.01255116,0.94246310,0.9423762
0.01255696,0.94246262,0.94237423
0.01256277,0.94246209,0.94237226
0.01256857,0.94246173,0.9423703
0.01257438,0.94246542,0.9423728
0.01258019,0.94247121,0.94237727
0.01258599,0.94247681,0.94238174
0.0125918,0.94248241,0.94238627
0.0125976,0.94248813,0.94239074
0.01260341,0.94249386,0.94239539
0.01260921,0.94249958,0.94240004
0.01261502,0.94250351,0.94240266
0.01262083,0.94250870,0.94240671
0.01262663,0.94251740,0.94241405
0.01263244,0.94252610,0.9424215
0.01263824,0.94253498,0.94242895
0.01264405,0.94254375,0.94243634
0.01264986,0.94255257,0.94244373
0.01265566,0.94256139,0.9424513
0.01266147,0.94257015,0.94245869
0.01266727,0.94257903,0.94246614
0.01267308,0.94258785,0.94247365
0.01267888,0.94259673,0.94248116
0.01268469,0.94260573,0.94248873
0.0126905,0.94261467,0.9424963
0.0126963,0.94262356,0.94250381
0.01270211,0.94263250,0.94251144
0.01270791,0.94264144,0.94251901
0.01271372,0.94264883,0.94252503
0.01271953,0.94264907,0.94252348
0.01272533,0.94264925,0.94252199
0.01273114,0.94265068,0.94252139
0.01273694,0.94265443,0.94252294
0.01274275,0.94265819,0.94252437
0.01274856,0.94266194,0.94252586
0.01275436,0.94266582,0.94252735
0.01276017,0.94266963,0.94252878
0.01276597,0.94267339,0.94253033
0.01277178,0.94267726,0.94253188
0.01277758,0.94268745,0.94254035
0.01278339,0.94270468,0.9425565
0.0127892,0.94272190,0.94257265
0.012795,0.94273674,0.94258702
0.01280081,0.94274569,0.94259691
0.01280661,0.94275457,0.94260681
0.01281242,0.94276351,0.94261676
0.01281823,0.94277745,0.94263208
0.01282403,0.94279766,0.94265425
0.01282984,0.94281775,0.94267642
0.01283564,0.94283807,0.9426986
0.01284145,0.94285822,0.94272083
0.01284725,0.94287848,0.94274312
0.01285306,0.94289875,0.94276524
0.01285887,0.94291896,0.94278759
0.01286467,0.94293928,0.94280976
0.01287048,0.94295508,0.94282705
0.01287628,0.94296986,0.94284314
0.01288209,0.94298476,0.94285935
0.0128879,0.94299912,0.9428739
0.0128937,0.94301349,0.94288838
0.01289951,0.94302791,0.94290286
0.01290531,0.94304228,0.94291741
0.01291112,0.94305676,0.94293207
0.01291693,0.94307119,0.94294655
0.01292273,0.94308573,0.94296122
0.01292854,0.94310015,0.94297576
0.01293434,0.94311482,0.94299048
0.01294015,0.94312924,0.94300508
0.01294595,0.94314373,0.94301975
0.01295176,0.94315839,0.94303447
0.01295757,0.94317687,0.94305336
0.01296337,0.94320118,0.94307852
0.01296918,0.94322544,0.94310355
0.01297498,0.94324976,0.94312871
0.01298079,0.94327390,0.94315302
0.0129866,0.94329858,0.94317693
0.0129924,0.94332635,0.9432041
0.01299821,0.94335425,0.94323134
0.01300401,0.94338208,0.94325852
0.01300982,0.94340992,0.9432857
0.01301563,0.94343787,0.943313
0.01302143,0.94346577,0.94334018
0.01302724,0.94349366,0.94336754
0.01303304,0.94352156,0.94339496
0.01303885,0.94354951,0.94342214
0.01304465,0.94357753,0.9434495
0.01305046,0.94360554,0.9434768
0.01305627,0.94363356,0.94350415
0.01306207,0.94366157,0.94353157
0.01306788,0.94368958,0.94355905
0.01307368,0.94371772,0.94358647
0.01307949,0.94374579,0.94361395
0.0130853,0.94377589,0.9436428
0.0130911,0.94380653,0.94367212
0.01309691,0.94383711,0.94370151
0.01310271,0.94386619,0.9437297
0.01310852,0.94389468,0.94375765
0.01311432,0.94392318,0.94378555
0.01312013,0.94395161,0.9438135
0.01312594,0.94398022,0.94384152
0.01313174,0.94400871,0.94386941
0.01313755,0.94403744,0.94389749
0.01314335,0.94406593,0.94392538
0.01314916,0.94409460,0.94395345
0.01315497,0.94412327,0.94398153
0.01316077,0.94415194,0.9440096
0.01316658,0.94418067,0.94403774
0.01317238,0.94420934,0.94406581
0.01317819,0.94423807,0.944094
0.013184,0.94426668,0.94412208
0.0131898,0.94430768,0.94416291
0.01319561,0.94435740,0.94421268
0.01320141,0.94439870,0.94425416
0.01320722,0.94444013,0.9442957
0.01321302,0.94448149,0.94433719
0.01321883,0.94452894,0.94438565
0.01322464,0.94457865,0.94443661
0.01323044,0.94462836,0.94448757
