 Y [ m ], Velocity [ m s^-1 ]
0.0122921551,2.3758413792
0.0123071698,2.3761918545
0.0123221846,2.3765420914
0.0123371994,2.3766739368
0.0123522142,2.3754575253
0.0123672290,2.3742411137
0.0123822438,2.3730247021
0.0123972585,2.3718085289
0.0124122733,2.3705925941
0.0124272881,2.3693768978
0.0124423029,2.3681614399
0.0124573177,2.3669459820
0.0124723325,2.3657305241
0.0124873472,2.3645155430
0.0125023620,2.3633008003
0.0125173768,2.3620860577
0.0125323916,2.3608713150
0.0125474064,2.3596570492
0.0125624212,2.3584427834
0.0125774359,2.3572289944
0.0125924507,2.3560149670
0.0126074655,2.3548011780
0.0126224803,2.3535878658
0.0126374951,2.3523747921
0.0126525098,2.3511614799
0.0126675246,2.3499484062
0.0126825394,2.3487353325
0.0126975542,2.3475232124
0.0127125690,2.3463106155
0.0127275838,2.3450982571
0.0127425985,2.3438858986
0.0127576133,2.3426740170
0.0127726281,2.3414626122
0.0127876429,2.3402512074
0.0128026577,2.3390395641
0.0128176725,2.3378283978
0.0128326872,2.3366177082
0.0128477020,2.3354067802
0.0128627168,2.3341960907
0.0128777316,2.3329856396
0.0128927464,2.3317751884
0.0129077611,2.3305652142
0.0129227759,2.3293552399
0.0129377907,2.3281455040
0.0129528055,2.3269360065
0.0129678203,2.3257265091
0.0129828351,2.3245174885
0.0129978498,2.3233084679
0.0130128646,2.3220994473
0.0130278794,2.3208911419
0.0130428942,2.3196823597
0.0130579090,2.3184742928
0.0130729238,2.3172664642
0.0130879385,2.3160583973
0.0131029533,2.3148503304
0.0131179681,2.3136432171
0.0131329829,2.3124356270
0.0131479977,2.3112287521
0.0131630125,2.3100216389
0.0131780272,2.3088150024
0.0131930420,2.3076083660
0.0132080568,2.3064019680
0.0132230716,2.3051953316
0.0132380864,2.3039894104
0.0132531011,2.3027839661
0.0132681159,2.3015780449
0.0132831307,2.3003728390
0.0132981455,2.2991673946
0.0133131603,2.2979621887
0.0133281751,2.2967572212
0.0133431898,2.2955524921
0.0133582046,2.2943482399
0.0133732194,2.2931439877
0.0133882342,2.2919397354
0.0134032490,2.2907357216
0.0134182638,2.2895319462
0.0134332785,2.2883284092
0.0134482933,2.2871246338
0.0134633081,2.2859218121
0.0134783229,2.2847189903
0.0134933377,2.2835161686
0.0135083525,2.2813613415
0.0135233672,2.2748100758
0.0135383820,2.2682585716
0.0135533968,2.2617070675
0.0135684116,2.2551562786
0.0135834264,2.2486050129
0.0135984411,2.2420539856
0.0136134559,2.2355034351
0.0136284707,2.2289528847
0.0136434855,2.2224023342
0.0136585003,2.2158522606
0.0136735151,2.2093019485
0.0136885298,2.2027518749
0.0137035446,2.1962020397
0.0137185594,2.1896524429
0.0137335742,2.1831028461
0.0137485890,2.1765532494
0.0137636038,2.1700043678
0.0137786185,2.1634552479
0.0137936333,2.1569063663
0.0138086481,2.1503574848
0.0138236629,2.1438090801
0.0138386777,2.1372606754
0.0138536925,2.1307125092
0.0138687072,2.1241645813
0.0138837220,2.1176164150
0.0138987368,2.1110687256
0.0139137516,2.1045215130
0.0139287664,2.0979738235
0.0139437811,2.0914270878
0.0139587959,2.0848796368
0.0139738107,2.0783331394
0.0139888255,2.0717861652
0.0140038403,2.0652399063
0.0140188551,2.0586934090
0.0140338698,2.0521478653
0.0140488846,2.0456013680
0.0140638994,2.0390563011
0.0140789142,2.0325105190
0.0140939290,2.0259649754
0.0141089438,2.0194199085
0.0141239585,2.0128750801
0.0141389733,2.0063302517
0.0141539881,1.9997860193
0.0141690029,1.9932416677
0.0141840177,1.9866975546
0.0141990324,1.9801537991
0.0142140472,1.9736099243
0.0142290620,1.9675678015
0.0142440768,1.9607293606
0.0142590916,1.9543586969
0.0142741064,1.9479881525
0.0142891211,1.9416177273
0.0143041359,1.9308259487
0.0143191507,1.9149674177
0.0143341655,1.8991092443
0.0143491803,1.8832510710
0.0143641951,1.8674950600
0.0143792098,1.8503949642
0.0143942246,1.8332948685
0.0144092394,1.8161950111
0.0144242542,1.7990951538
0.0144392690,1.7819955349
0.0144542838,1.7648962736
0.0144692985,1.7477971315
0.0144843133,1.7306984663
0.0144993281,1.7135995626
0.0145143429,1.6965008974
0.0145293577,1.6794027090
0.0145443724,1.6623046398
0.0145593872,1.6452068090
0.0145744020,1.6281092167
0.0145894168,1.6110118628
0.0146044316,1.5939147472
0.0146194464,1.5768177509
0.0146344611,1.5597212315
0.0146494759,1.5426250696
0.0146644907,1.5255289078
0.0146795055,1.5084333420
0.0146945203,1.4913378954
0.0147095351,1.4742426872
0.0147245498,1.4571479559
0.0147395646,1.4400537014
0.0147545794,1.4229595661
0.0147695942,1.4058660269
0.0147846090,1.3887724876
0.0147996238,1.3716795444
0.0148146385,1.3545870781
0.0148296533,1.3374950886
0.0148446681,1.3204035759
0.0148596829,1.3033121824
0.0148746977,1.2862217426
0.0148897124,1.2691313028
0.0149047272,1.2520418167
0.0149197420,1.2349525690
0.0149347568,1.2178640366
0.0149497716,1.2007762194
0.0149647864,1.1836887598
0.0149798011,1.1666020155
0.0149948159,1.1495159864
0.0150098307,1.1324306726
0.0150248455,1.1153460741
0.0150398603,1.0982621908
0.0150548751,1.0811792612
0.0150698898,1.0640969276
0.0150849046,1.0470156670
0.0150999194,1.0299351215
0.0151149342,1.0128557682
0.0151299490,0.9957772493
0.0151449637,0.9786999822
0.0151599785,0.9616237879
0.0151749933,0.9439765215
0.0151900081,0.9225183129
0.0152050229,0.9010606408
0.0152200377,0.8796034455
0.0152350524,0.8581466675
0.0152500672,0.8366904855
0.0152650820,0.8152348399
0.0152800968,0.7937799692
0.0152951116,0.7723257542
0.0153101264,0.7508722544
0.0153251411,0.7294195890
0.0153401559,0.7079678774
0.0153551707,0.6865170002
0.0153701855,0.6710191369
0.0153852003,0.6565445066
0.0154002151,0.6420730352
0.0154152298,0.6276050210
0.0154302446,0.6131407619
0.0154452594,0.5986805558
0.0154602742,0.5842245221
0.0154752890,0.5697731376
0.0154903037,0.5553266406
0.0155053185,0.5408855677
0.0155203333,0.5264502764
0.0155353481,0.5120213628
0.0155503629,0.4975992441
0.0155653777,0.4831845164
0.0155803924,0.4687779546
0.0155954072,0.4543802738
0.0156104220,0.4399924874
0.0156254377,0.4256144464
0.0156404525,0.4112493396
0.0156554673,0.3968973756
0.0156704821,0.3825601041
0.0156854969,0.3682391942
0.0157005116,0.3539367616
0.0157155264,0.3396549821
0.0157305412,0.3253967166
0.0157455560,0.3111650646
0.0157605708,0.2969639599
0.0157755855,0.2827979028
0.0157906003,0.2686725855
0.0158056151,0.2545946538
0.0158206299,0.2405724526
0.0158356447,0.2266163528
0.0158506595,0.2127393782
0.0158656742,0.1989580542
0.0158806890,0.1852937490
0.0158957038,0.1717743725
0.0159107186,0.1584370136
0.0159257334,0.1453318149
0.0159407482,0.1325276941
0.0159557629,0.1201209128
0.0159707777,0.1082482263
0.0159857925,0.0971056968
0.0160008073,0.0869744420
0.0160158221,0.0782482326
0.0160308369,0.0714437887
0.0160458516,0.0671479106
0.0160608664,0.0658533797
0.0160758812,0.0677826330
0.0160908960,0.0704931840
0.0161059108,0.0735511333
0.0161209255,0.0748726279
0.0161359403,0.0760163218
0.0161509551,0.0771634206
0.0161659699,0.0783137679
0.0161809847,0.0794672072
0.0161959995,0.0806236342
0.0162110142,0.0817829072
0.0162260290,0.0829449072
0.0162410438,0.0841095373
0.0162560586,0.0852766559
0.0162710734,0.0864461809
0.0162860882,0.0876180232
0.0163011029,0.0887920931
0.0163161177,0.0899682865
0.0163311325,0.0911465213
0.0163461473,0.0923267379
0.0163611621,0.0935088471
0.0163761768,0.0946927816
0.0163911916,0.0958784744
0.0164062064,0.0970658734
0.0164212212,0.0982548893
0.0164362360,0.0994454771
0.0164512508,0.1006375775
0.0164662655,0.1018311605
0.0164812803,0.1030261517
0.0164962951,0.1042224988
0.0165113099,0.1054201797
0.0165263247,0.1066191122
0.0165413395,0.1078192964
0.0165563542,0.1090206653
0.0165713690,0.1102231816
0.0165863838,0.1114268005
0.0166013986,0.1126315296
0.0166164134,0.1138372868
0.0166314282,0.1150440425
0.0166464429,0.1162517965
0.0166614577,0.1174604967
0.0166764725,0.1186701134
0.0166914873,0.1198806241
0.0167065021,0.1210920066
0.0167215168,0.1223042309
0.0167365316,0.1235172674
0.0167515464,0.1247310862
0.0167665612,0.1259456724
0.0167815760,0.1271610260
0.0167965908,0.1283770949
0.0168116055,0.1295938641
0.0168266203,0.1308113337
0.0168416351,0.1320294589
0.0168566499,0.1332482249
0.0168716647,0.1344676316
0.0168866795,0.1356876493
0.0169016942,0.1369082779
0.0169167090,0.1381294727
0.0169317238,0.1393512487
0.0169467386,0.1405735463
0.0169617534,0.1417964101
0.0169767682,0.1430197805
0.0169917829,0.1442436725
0.0170067977,0.1454680413
0.0170218125,0.1466929168
0.0170368273,0.1479182690
0.0170518421,0.1491440684
0.0170668568,0.1480482072
0.0170818716,0.1468298584
0.0170968864,0.1456393004
0.0171119012,0.1449890882
0.0171269160,0.1444723606
0.0171419308,0.1439563930
0.0171569455,0.1434411705
0.0171719603,0.1429267377
0.0171869751,0.1424130946
0.0172019899,0.1419001818
0.0172170047,0.1413881034
0.0172320195,0.1408767998
0.0172470342,0.1403663158
0.0172620490,0.1398566514
0.0172770638,0.1393478066
0.0172920786,0.1388397962
0.0173070934,0.1383326501
0.0173221082,0.1378263533
0.0173371229,0.1373208910
0.0173521377,0.1368163377
0.0173671525,0.1363126487
0.0173821673,0.1358098686
0.0173971821,0.1353079826
0.0174121968,0.1348069906
0.0174272116,0.1343069375
0.0174422264,0.1338078380
0.0174572412,0.1333096474
0.0174722560,0.1328124404
0.0174872708,0.1323161870
0.0175022855,0.1318209171
0.0175173003,0.1313266307
0.0175323151,0.1308333278
0.0175473299,0.1303410381
0.0175623447,0.1298497915
0.0175773595,0.1293595582
0.0175923742,0.1288703829
0.0176073890,0.1283822656
0.0176224038,0.1278951913
0.0176374186,0.1274092197
0.0176524334,0.1269243360
0.0176674481,0.1264405698
0.0176824629,0.1259579212
0.0176974777,0.1254763901
0.0177124925,0.1249960065
0.0177275073,0.1245167777
0.0177425221,0.1240387410
0.0177575368,0.1235618740
0.0177725516,0.1230862141
0.0177875664,0.1226117685
0.0178025812,0.1221385375
0.0178175960,0.1216665432
0.0178326108,0.1211958230
0.0178476255,0.1207263693
0.0178626403,0.1202581897
0.0178776551,0.1197913215
0.0178926699,0.1193257645
0.0179076847,0.1188615337
0.0179226995,0.1183986589
0.0179377142,0.1179371476
0.0179527290,0.1174268723
0.0179677438,0.1168565005
0.0179827586,0.1162862405
0.0179977734,0.1157161295
0.0180127881,0.1154994592
0.0180278029,0.1152774468
0.0180428177,0.1150555983
0.0180578325,0.1148339137
0.0180728473,0.1146124005
0.0180878621,0.1143910512
0.0181028768,0.1141698733
0.0181178916,0.1139488593
0.0181329064,0.1137280092
0.0181479212,0.1135073453
0.0181629360,0.1132868454
0.0181779508,0.1130665243
0.0181929655,0.1128463671
0.0182079803,0.1126263887
0.0182229951,0.1124065891
0.0182380099,0.1121869683
0.0182530247,0.1119567305
0.0182680395,0.1115640923
0.0182830542,0.1111856625
0.0182980690,0.1108074114
0.0183130838,0.1104293540
0.0183280986,0.1100514755
0.0183431134,0.1096737757
0.0183581281,0.1092962623
0.0183731429,0.1089189425
0.0183881577,0.1085418165
0.0184031725,0.1081648767
0.0184181873,0.1077881306
0.0184332021,0.1074115932
0.0184482168,0.1070352495
0.0184632316,0.1066590995
0.0184782464,0.1062831581
0.0184932612,0.1059074253
0.0185082760,0.1055319011
0.0185232908,0.1051565781
0.0185383055,0.1047814786
0.0185533203,0.1044065878
0.0185683351,0.1040319055
0.0185833499,0.1036574617
0.0185983647,0.1032832265
0.0186133794,0.1029092223
0.0186283942,0.1025354266
0.0186434090,0.1021618769
0.0186584238,0.1017885506
0.0186734386,0.1014154628
0.0186884534,0.1010426208
0.0187034681,0.1006699950
0.0187184829,0.1002976298
0.0187334977,0.0999255106
0.0187485125,0.0995536223
0.0187635273,0.0991819799
0.0187785421,0.0988106206
0.0187935568,0.0984394997
0.0188085716,0.0980686322
0.0188235864,0.0976980403
0.0188386012,0.0973277017
0.0188536160,0.0969576314
0.0188686308,0.0965878367
0.0188836455,0.0962183028
0.0188986603,0.0958490595
0.0189136751,0.0954800993
0.0189286899,0.0951114222
0.0189437047,0.0947430283
