 Y [ m ], Velocity [ m s^-1 ]
0.0101300264,0.4243873358
0.0101450412,0.4312808514
0.0101600559,0.4381746352
0.0101750707,0.4450686872
0.0101900855,0.4519630373
0.0102051003,0.4588576555
0.0102201151,0.4657524824
0.0102351299,0.4726476073
0.0102501446,0.4795428813
0.0102651594,0.4864383936
0.0102801742,0.4933341444
0.0102951890,0.5002300739
0.0103102038,0.5071261525
0.0103252186,0.5140224695
0.0103402333,0.5209189653
0.0103552481,0.5278155804
0.0103702629,0.5347124338
0.0103852777,0.5416093469
0.0104002925,0.5485064387
0.0104153072,0.5554037094
0.0104303220,0.5623011589
0.0104453368,0.5691986084
0.0104603516,0.5760962963
0.0104753664,0.5829941034
0.0104903812,0.5898919702
0.0105053959,0.5967899561
0.0105204107,0.6036881208
0.0105354255,0.6105863452
0.0105504403,0.6176010370
0.0105654551,0.6247768998
0.0105804699,0.6319528818
0.0105954846,0.6391290426
0.0106104994,0.6463052034
0.0106255142,0.6534817219
0.0106405290,0.6606582403
0.0106555438,0.6678348780
0.0106705585,0.6750115752
0.0106855733,0.6821885109
0.0107005881,0.6893654466
0.0107156029,0.6965425015
0.0107306177,0.7037196755
0.0107456325,0.7108968496
0.0107606472,0.7180743218
0.0107756620,0.7252517343
0.0107906768,0.7324293256
0.0108056916,0.7396069765
0.0108207064,0.7467845678
0.0108357212,0.7539624572
0.0108507359,0.7611403465
0.0108657507,0.7683182955
0.0108807655,0.7754963040
0.0108957803,0.7826743126
0.0109107951,0.7898525596
0.0109258099,0.7964414358
0.0109408246,0.7995151877
0.0109558394,0.8023064733
0.0109708542,0.8050979972
0.0109858690,0.8078894019
0.0110008838,0.8106810451
0.0110158985,0.8134727478
0.0110309133,0.8162644506
0.0110459281,0.8190562725
0.0110609429,0.8218481541
0.0110759577,0.8246400952
0.0110909725,0.8274321556
0.0111059872,0.8302242160
0.0111210020,0.8330163956
0.0111360168,0.8358086348
0.0111510316,0.8386009336
0.0111660464,0.8413932920
0.0111810612,0.8441857100
0.0111960759,0.8469783068
0.0112110907,0.8497708440
0.0112261055,0.8525635004
0.0112411203,0.8553561568
0.0112561351,0.8581489325
0.0112711499,0.8609417677
0.0112861646,0.8637346625
0.0113011794,0.8665275574
0.0113161942,0.8693205714
0.0113312090,0.8721137047
0.0113462238,0.8749068379
0.0113612385,0.8777000308
0.0113762533,0.8804932833
0.0113912681,0.8832865357
0.0114062829,0.8860799074
0.0114212977,0.8886431456
0.0114363125,0.8911925554
0.0114513272,0.8937422037
0.0114663420,0.8962919116
0.0114813568,0.8988415599
0.0114963716,0.9013914466
0.0115113864,0.9039413333
0.0115264012,0.9064912200
0.0115414159,0.9090411663
0.0115564307,0.9115912914
0.0115714455,0.9141415358
0.0115864603,0.9166917801
0.0116014751,0.9192420244
0.0116164899,0.9217923880
0.0116315046,0.9243428111
0.0116465194,0.9268933535
0.0116615342,0.9294439554
0.0116765490,0.9319945574
0.0116915638,0.9345452189
0.0117065785,0.9370960593
0.0117215933,0.9396469593
0.0117366081,0.9421977401
0.0117516229,0.9447486997
0.0117666377,0.9472997785
0.0117816525,0.9498508573
0.0117966672,0.9524019957
0.0118116820,0.9549531937
0.0118266968,0.9575045705
0.0118417116,0.9600558877
0.0118567264,0.9626072645
0.0118717412,0.9651587009
0.0118867559,0.9677101970
0.0119017707,0.9702617526
0.0119167855,0.9728133678
0.0119318003,0.9751353264
0.0119468151,0.9753028750
0.0119618298,0.9754325748
0.0119768446,0.9755622745
0.0119918594,0.9756921530
0.0120068742,0.9758220315
0.0120218890,0.9759519100
0.0120369038,0.9760818481
0.0120519185,0.9762119055
0.0120669333,0.9763419032
0.0120819481,0.9764719605
0.0120969629,0.9766021967
0.0121119777,0.9767324328
0.0121269925,0.9768626094
0.0121420072,0.9769929051
0.0121570220,0.9771231413
0.0121720368,0.9772536755
0.0121870516,0.9773840904
0.0122020664,0.9775143862
0.0122170812,0.9776450396
0.0122320959,0.9777756333
0.0122471107,0.9779062271
0.0122621255,0.9780369401
0.0122771403,0.9781677127
0.0122921551,0.9782984257
0.0123071698,0.9784292579
0.0123221846,0.9785600305
0.0123371994,0.9785965085
0.0123522142,0.9780495763
0.0123672290,0.9775026441
0.0123822438,0.9769560099
0.0123972585,0.9764093161
0.0124122733,0.9758627415
0.0124272881,0.9753162265
0.0124423029,0.9747697115
0.0124573177,0.9742233157
0.0124723325,0.9736770392
0.0124873472,0.9731308222
0.0125023620,0.9725846648
0.0125173768,0.9720384479
0.0125323916,0.9714924693
0.0125474064,0.9709464908
0.0125624212,0.9704005718
0.0125774359,0.9698547125
0.0125924507,0.9693089724
0.0126074655,0.9687632918
0.0126224803,0.9682177305
0.0126374951,0.9676722288
0.0126525098,0.9671267271
0.0126675246,0.9665812254
0.0126825394,0.9660359621
0.0126975542,0.9654907584
0.0127125690,0.9649455547
0.0127275838,0.9644005299
0.0127425985,0.9638554454
0.0127576133,0.9633105397
0.0127726281,0.9627656341
0.0127876429,0.9622208476
0.0128026577,0.9616760612
0.0128176725,0.9611313343
0.0128326872,0.9605868459
0.0128477020,0.9600423574
0.0128627168,0.9594978690
0.0128777316,0.9589535594
0.0128927464,0.9584091902
0.0129077611,0.9578650594
0.0129227759,0.9573208690
0.0129377907,0.9567768574
0.0129528055,0.9562327862
0.0129678203,0.9556889534
0.0129828351,0.9551450014
0.0129978498,0.9546013475
0.0130128646,0.9540576339
0.0130278794,0.9535139799
0.0130428942,0.9529703856
0.0130579090,0.9524269104
0.0130729238,0.9518836141
0.0130879385,0.9513401985
0.0131029533,0.9507969022
0.0131179681,0.9502537847
0.0131329829,0.9497107863
0.0131479977,0.9491677284
0.0131630125,0.9486248493
0.0131780272,0.9480819702
0.0131930420,0.9475392103
0.0132080568,0.9469964504
0.0132230716,0.9464538097
0.0132380864,0.9459112883
0.0132531011,0.9453688860
0.0132681159,0.9448264241
0.0132831307,0.9442841411
0.0132981455,0.9437418580
0.0133131603,0.9431996346
0.0133281751,0.9426575899
0.0133431898,0.9421156645
0.0133582046,0.9415736795
0.0133732194,0.9410317540
0.0133882342,0.9404900670
0.0134032490,0.9399483800
0.0134182638,0.9394067526
0.0134332785,0.9388651848
0.0134482933,0.9383237958
0.0134633081,0.9377823472
0.0134783229,0.9372410774
0.0134933377,0.9366998673
0.0135083525,0.9357405305
0.0135233672,0.9328488708
0.0135383820,0.9299573302
0.0135533968,0.9270657897
0.0135684116,0.9241743088
0.0135834264,0.9212830067
0.0135984411,0.9183917046
0.0136134559,0.9155004025
0.0136284707,0.9126092196
0.0136434855,0.9097180367
0.0136585003,0.9068269134
0.0136735151,0.9039359689
0.0136885298,0.9010450840
0.0137035446,0.8981540799
0.0137185594,0.8952632546
0.0137335742,0.8923724890
0.0137485890,0.8894817829
0.0137636038,0.8865910769
0.0137786185,0.8837004900
0.0137936333,0.8808100820
0.0138086481,0.8779196143
0.0138236629,0.8750292063
0.0138386777,0.8721388578
0.0138536925,0.8692486882
0.0138687072,0.8663583994
0.0138837220,0.8634682894
0.0138987368,0.8605784178
0.0139137516,0.8576883674
0.0139287664,0.8547984958
0.0139437811,0.8519086838
0.0139587959,0.8490189314
0.0139738107,0.8461291790
0.0139888255,0.8432396054
0.0140038403,0.8403501511
0.0140188551,0.8374606967
0.0140338698,0.8345714212
0.0140488846,0.8316820264
0.0140638994,0.8287928104
0.0140789142,0.8259036541
0.0140939290,0.8230146766
0.0141089438,0.8201256394
0.0141239585,0.8172368407
0.0141389733,0.8143480420
0.0141539881,0.8114593029
0.0141690029,0.8085707426
0.0141840177,0.8056821227
0.0141990324,0.8027937412
0.0142140472,0.7999053001
0.0142290620,0.7972397208
0.0142440768,0.7942184806
0.0142590916,0.7914053202
0.0142741064,0.7885922194
0.0142891211,0.7857792378
0.0143041359,0.7811756134
0.0143191507,0.7745198607
0.0143341655,0.7678642869
0.0143491803,0.7612088323
0.0143641951,0.7545801997
0.0143792098,0.7475981712
0.0143942246,0.7406162024
0.0144092394,0.7336342335
0.0144242542,0.7266524434
0.0144392690,0.7196707726
0.0144542838,0.7126889825
0.0144692985,0.7057072520
0.0144843133,0.6987258196
0.0144993281,0.6917442679
0.0145143429,0.6847628355
0.0145293577,0.6777814031
0.0145443724,0.6708001494
0.0145593872,0.6638190150
0.0145744020,0.6568379402
0.0145894168,0.6498568058
0.0146044316,0.6428759098
0.0146194464,0.6358950734
0.0146344611,0.6289142966
0.0146494759,0.6219336391
0.0146644907,0.6149530411
0.0146795055,0.6079726219
0.0146945203,0.6009922028
0.0147095351,0.5940119624
0.0147245498,0.5870318413
0.0147395646,0.5800518394
0.0147545794,0.5730718970
0.0147695942,0.5660921931
0.0147846090,0.5591125488
0.0147996238,0.5521330237
0.0148146385,0.5451536775
0.0148296533,0.5381744504
0.0148446681,0.5311954618
0.0148596829,0.5242165327
0.0148746977,0.5172377825
0.0148897124,0.5102592707
0.0149047272,0.5032808781
0.0149197420,0.4963027239
0.0149347568,0.4893247187
0.0149497716,0.4823469520
0.0149647864,0.4753693640
0.0149798011,0.4683920741
0.0149948159,0.4614149332
0.0150098307,0.4544380903
0.0150248455,0.4474614561
0.0150398603,0.4404851198
0.0150548751,0.4335091114
0.0150698898,0.4265333116
0.0150849046,0.4195578098
0.0150999194,0.4125826955
0.0151149342,0.4056079388
0.0151299490,0.3986334503
0.0151449637,0.3916594684
0.0151599785,0.3846857846
0.0151749933,0.3775241971
0.0151900081,0.3691082895
0.0152050229,0.3606925607
0.0152200377,0.3522770107
0.0152350524,0.3438615799
0.0152500672,0.3354463577
0.0152650820,0.3270313740
0.0152800968,0.3186166585
0.0152951116,0.3102021813
0.0153101264,0.3017879725
0.0153251411,0.2933740616
0.0153401559,0.2849604487
0.0153551707,0.2765472233
0.0153701855,0.2707985640
0.0153852003,0.2655086517
0.0154002151,0.2602208853
0.0154152298,0.2549354732
0.0154302446,0.2496524900
0.0154452594,0.2443721890
0.0154602742,0.2390946448
0.0154752890,0.2338200957
0.0154903037,0.2285487503
0.0155053185,0.2232808322
0.0155203333,0.2180165798
0.0155353481,0.2127563357
0.0155503629,0.2075002790
0.0155653777,0.2022488266
0.0155803924,0.1970022917
0.0155954072,0.1917611361
0.0156104220,0.1865258068
0.0156254377,0.1812963784
0.0156404525,0.1760742217
0.0156554673,0.1708595306
0.0156704821,0.1656530350
0.0156854969,0.1604555547
0.0157005116,0.1552679688
0.0157155264,0.1500913352
0.0157305412,0.1449268013
0.0157455560,0.1397757083
0.0157605708,0.1346396059
0.0157755855,0.1295202971
0.0157906003,0.1244198307
0.0158056151,0.1193406284
0.0158206299,0.1142855287
0.0158356447,0.1092578471
0.0158506595,0.1042616069
0.0158656742,0.0993015021
