 Y [ m ], Velocity [ m s^-1 ]
0.0161809847,0.2893204093
0.0161959995,0.2852287293
0.0162110142,0.2811387479
0.0162260290,0.2770506144
0.0162410438,0.2729642689
0.0162560586,0.2688798904
0.0162710734,0.2647976875
0.0162860882,0.2607175410
0.0163011029,0.2566396594
0.0163161177,0.2525641024
0.0163311325,0.2484910488
0.0163461473,0.2444206029
0.0163611621,0.2403528988
0.0163761768,0.2362880707
0.0163911916,0.2322262228
0.0164062064,0.2281675935
0.0164212212,0.2241123170
0.0164362360,0.2200605720
0.0164512508,0.2160125971
0.0164662655,0.2119685561
0.0164812803,0.2079287320
0.0164962951,0.2038933188
0.0165113099,0.1998626143
0.0165263247,0.1958369166
0.0165413395,0.1918165088
0.0165563542,0.1878017783
0.0165713690,0.1837930679
0.0165863838,0.1797907949
0.0166013986,0.1757953465
0.0166164134,0.1718072593
0.0166314282,0.1678270549
0.0166464429,0.1638552845
0.0166614577,0.1598925740
0.0166764725,0.1559396535
0.0166914873,0.1519972086
0.0167065021,0.1480661482
0.0167215168,0.1441473961
0.0167365316,0.1402419657
0.0167515464,0.1363509893
0.0167665612,0.1324757487
0.0167815760,0.1286176890
0.0167965908,0.1247783974
0.0168116055,0.1209596321
0.0168266203,0.1171634197
0.0168416351,0.1133920327
0.0168566499,0.1096480340
0.0168716647,0.1059342995
0.0168866795,0.1022541672
0.0169016942,0.0986113697
0.0169167090,0.0950101987
0.0169317238,0.0914556012
0.0169467386,0.0879531950
0.0169617534,0.0845094770
0.0169767682,0.0811319351
0.0169917829,0.0778291672
0.0170067977,0.0746111199
0.0170218125,0.0714892074
0.0170368273,0.0684766099
0.0170518421,0.0655883774
0.0170668568,0.0644538924
0.0170818716,0.0634621754
0.0170968864,0.0625082329
0.0171119012,0.0618066862
0.0171269160,0.0611718893
0.0171419308,0.0605469979
0.0171569455,0.0599323288
0.0171719603,0.0593281873
0.0171869751,0.0587349050
0.0172019899,0.0581528060
0.0172170047,0.0575822368
0.0172320195,0.0570235439
0.0172470342,0.0564770810
0.0172620490,0.0559432022
0.0172770638,0.0554222688
0.0172920786,0.0549146533
0.0173070934,0.0544207320
0.0173221082,0.0539408736
0.0173371229,0.0534754656
0.0173521377,0.0530248731
0.0173671525,0.0525894947
0.0173821673,0.0521697029
0.0173971821,0.0517658740
0.0174121968,0.0513783880
0.0174272116,0.0510076173
0.0174422264,0.0506539345
0.0174572412,0.0503176861
0.0174722560,0.0499992371
0.0174872708,0.0496989228
0.0175022855,0.0494170785
0.0175173003,0.0491540208
0.0175323151,0.0489100441
0.0175473299,0.0486854464
0.0175623447,0.0484804921
0.0175773595,0.0482954271
0.0175923742,0.0481304936
0.0176073890,0.0479858890
0.0176224038,0.0478617996
0.0176374186,0.0477583818
0.0176524334,0.0476757772
0.0176674481,0.0476140901
0.0176824629,0.0475733988
0.0176974777,0.0475537740
0.0177124925,0.0475552157
0.0177275073,0.0475777425
0.0177425221,0.0476213135
0.0177575368,0.0476858728
